model,direction,epsilon,law,zone_risk,centroid_mse,split
raw_single_channel_phase_gat_team_mean_seed47,vx,0.05,Q_whitebox,0.015625,nan,target
raw_single_channel_phase_gat_team_mean_seed47,vx,0.15,Q_ref,0.01446533203125,0.0025809384241701205,target
raw_single_channel_phase_gat_team_mean_seed47,vx,0.15,Q_coherent,0.014426491477272717,0.0025826556995419553,target
raw_single_channel_phase_gat_team_mean_seed47,vx,0.15,Q_source_greedy,0.01171875,0.0025504575272734214,target
raw_single_channel_phase_gat_team_mean_seed47,vx,0.15,Q_source_dro,0.014464392534223481,0.002580929316657858,target
raw_single_channel_phase_gat_team_mean_seed47,vx,0.15,Q_whitebox,0.0234375,nan,target
raw_single_channel_phase_gat_team_mean_seed47,vy,0.05,Q_ref,0.01324462890625,0.002552732957080547,target
raw_single_channel_phase_gat_team_mean_seed47,vy,0.05,Q_coherent,0.013183593749999993,0.002553203680871757,target
raw_single_channel_phase_gat_team_mean_seed47,vy,0.05,Q_source_greedy,0.015625,0.0025371954267938033,target
raw_single_channel_phase_gat_team_mean_seed47,vy,0.05,Q_source_dro,0.013244641642569562,0.002552727923135577,target
raw_single_channel_phase_gat_team_mean_seed47,vy,0.05,Q_whitebox,0.0234375,nan,target
raw_single_channel_phase_gat_team_mean_seed47,vy,0.15,Q_ref,0.01422119140625,0.0025672044985056274,target
raw_single_channel_phase_gat_team_mean_seed47,vy,0.15,Q_coherent,0.01442649147727272,0.0025699822110688882,target
raw_single_channel_phase_gat_team_mean_seed47,vy,0.15,Q_source_greedy,0.015625,0.0025811162810307916,target
raw_single_channel_phase_gat_team_mean_seed47,vy,0.15,Q_source_dro,0.01422066750187211,0.0025672170204545236,target
raw_single_channel_phase_gat_team_mean_seed47,vy,0.15,Q_whitebox,0.0234375,nan,target
