model_id,architecture,graph_id,role_group,epsilon,n_pairs,frequency_residual_mean,frequency_residual_max,topology_residual_mean,topology_residual_max,raw_scg_frequency_residual_corr,raw_scg_topology_residual_corr,normalized_scg_frequency_residual_corr,normalized_scg_topology_residual_corr
deepsets_ae_seed47,DeepSets-AE,delaunay,forward,0.5,1154,0.366260458265,1.27713757544,0.683184426528,6.6731504632,-0.00981350462303,0.0128618454039,-0.00981350462303,0.0128618454039
deepsets_ae_seed47,DeepSets-AE,delaunay,midfielder,0.25,1306,0.393509087689,1.12389919007,1.32606567989,7.63641812451,-0.0145885654909,-0.0194590926577,-0.0145885654909,-0.0194590926577
deepsets_ae_seed47,DeepSets-AE,delaunay,midfielder,0.5,1181,0.399974498328,1.12389919007,1.37286363076,7.63641812451,-0.0385455296641,-0.0113601620833,-0.0385455296641,-0.0113601620833
deepsets_ae_seed47,DeepSets-AE,knn4,defender,0.25,996,0.415795073575,1.20679867478,1.92874845462,10.7629119807,0.00180622545003,-0.0660878983985,0.00180622545003,-0.0660878983985
deepsets_ae_seed47,DeepSets-AE,knn4,defender,0.5,833,0.427078821671,1.20679867478,1.85636135492,10.7629119807,0.00659005319509,-0.0797739178223,0.00659005319509,-0.0797739178223
deepsets_ae_seed47,DeepSets-AE,knn4,forward,0.25,1326,0.453587746995,1.33595546383,0.729335061928,10.7080771201,-0.0595696285713,0.029285548174,-0.0595696285713,0.029285548174
deepsets_ae_seed47,DeepSets-AE,knn4,forward,0.5,1163,0.457723712302,1.33773860515,0.725329619141,10.7080771201,-0.0473934353015,0.0211676034342,-0.0473934353015,0.0211676034342
deepsets_ae_seed47,DeepSets-AE,knn4,midfielder,0.25,1299,0.465602312331,1.63525324703,1.51731410692,13.0179724173,0.0199696051027,0.104019228419,0.0199696051027,0.104019228419
deepsets_ae_seed47,DeepSets-AE,knn4,midfielder,0.5,1174,0.466942099081,1.63525324703,1.58088389315,13.0179724173,0.018302596777,0.0674667366745,0.018302596777,0.0674667366745
gat_ae_seed11,GAT-small-AE,delaunay,defender,0.25,933,0.3478634823,1.05204743895,2.14879503128,10.8261694546,0.0999489545635,-0.182739596914,0.0999489545635,-0.182739596914
gat_ae_seed11,GAT-small-AE,delaunay,defender,0.5,794,0.353048887089,0.945507841791,2.16475955983,10.8261694546,0.0929994709752,-0.174411068626,0.0929994709752,-0.174411068626
gat_ae_seed11,GAT-small-AE,delaunay,forward,0.25,1318,0.358964481978,1.18553978617,0.696662455271,7.1475084619,-0.0226233250734,-0.034986381352,-0.0226233250734,-0.034986381352
gat_ae_seed11,GAT-small-AE,delaunay,forward,0.5,1154,0.366260458265,1.27713757544,0.683184426528,6.6731504632,0.0142311100605,-0.0198217345388,0.0142311100605,-0.0198217345388
gat_ae_seed11,GAT-small-AE,delaunay,midfielder,0.25,1306,0.393509087689,1.12389919007,1.32606567989,7.63641812451,-0.0229151200647,0.0542998586419,-0.0229151200647,0.0542998586419
gat_ae_seed11,GAT-small-AE,delaunay,midfielder,0.5,1181,0.399974498328,1.12389919007,1.37286363076,7.63641812451,-0.0341478927814,0.058565906694,-0.0341478927814,0.058565906694
gat_ae_seed11,GAT-small-AE,knn4,defender,0.25,996,0.415795073575,1.20679867478,1.92874845462,10.7629119807,0.0589698797116,-0.157684634976,0.0589698797116,-0.157684634976
gat_ae_seed11,GAT-small-AE,knn4,defender,0.5,833,0.427078821671,1.20679867478,1.85636135492,10.7629119807,0.0442383966841,-0.163185323352,0.0442383966841,-0.163185323352
gat_ae_seed11,GAT-small-AE,knn4,forward,0.25,1326,0.453587746995,1.33595546383,0.729335061928,10.7080771201,-0.0288495738232,-0.0139197398624,-0.0288495738232,-0.0139197398624
gat_ae_seed11,GAT-small-AE,knn4,forward,0.5,1163,0.457723712302,1.33773860515,0.725329619141,10.7080771201,-0.0248311712172,-0.0125129476152,-0.0248311712172,-0.0125129476152
gat_ae_seed11,GAT-small-AE,knn4,midfielder,0.25,1299,0.465602312331,1.63525324703,1.51731410692,13.0179724173,0.0323874855929,0.259386204924,0.0323874855929,0.259386204924
gat_ae_seed11,GAT-small-AE,knn4,midfielder,0.5,1174,0.466942099081,1.63525324703,1.58088389315,13.0179724173,0.0271543141234,0.287675999122,0.0271543141234,0.287675999122
gat_ae_seed23,GAT-small-AE,delaunay,defender,0.25,933,0.3478634823,1.05204743895,2.14879503128,10.8261694546,0.0954623956611,-0.121093249523,0.0954623956611,-0.121093249523
gat_ae_seed23,GAT-small-AE,delaunay,defender,0.5,794,0.353048887089,0.945507841791,2.16475955983,10.8261694546,0.100953366252,-0.117790675484,0.100953366252,-0.117790675484
gat_ae_seed23,GAT-small-AE,delaunay,forward,0.25,1318,0.358964481978,1.18553978617,0.696662455271,7.1475084619,0.0135652762013,-0.00582505763682,0.0135652762013,-0.00582505763682
gat_ae_seed23,GAT-small-AE,delaunay,forward,0.5,1154,0.366260458265,1.27713757544,0.683184426528,6.6731504632,0.0427945382418,0.00662030807035,0.0427945382418,0.00662030807035
gat_ae_seed23,GAT-small-AE,delaunay,midfielder,0.25,1306,0.393509087689,1.12389919007,1.32606567989,7.63641812451,-0.0222918432661,0.00202742424942,-0.0222918432661,0.00202742424942
gat_ae_seed23,GAT-small-AE,delaunay,midfielder,0.5,1181,0.399974498328,1.12389919007,1.37286363076,7.63641812451,-0.0247110447406,0.00753951522546,-0.0247110447406,0.00753951522546
gat_ae_seed23,GAT-small-AE,knn4,defender,0.25,996,0.415795073575,1.20679867478,1.92874845462,10.7629119807,0.0536386107233,-0.0955019217988,0.0536386107233,-0.0955019217988
gat_ae_seed23,GAT-small-AE,knn4,defender,0.5,833,0.427078821671,1.20679867478,1.85636135492,10.7629119807,0.0722744932189,-0.109090990469,0.0722744932189,-0.109090990469
gat_ae_seed23,GAT-small-AE,knn4,forward,0.25,1326,0.453587746995,1.33595546383,0.729335061928,10.7080771201,0.00722457781267,-0.0328782930249,0.00722457781267,-0.0328782930249
