architecture,graph_id,role_group,epsilon,n_matches,n_model_seeds,full_mean_raw_scg,full_mean_normalized_scg,direction,match_positive_fraction,match_negative_fraction,match_sd_normalized_scg,match_min_normalized_scg,match_max_normalized_scg,lomo_same_sign_fraction,lomo_min_raw_scg,lomo_max_raw_scg,seed_mean_normalized_scg,seed_range_normalized_scg,seed_positive_fraction,frequency_residual_mean,topology_residual_mean
GAT-small-AE,knn4,forward,0.25,10,3,-8.11199276216e-06,-3.24479710486e-05,negative,0.1,0.9,2.79644140379e-05,-9.04330379887e-05,8.37379031711e-06,1,-9.24593057787e-06,-6.50129645827e-06,-3.24479710486e-05,5.8605391655e-05,0,0.456586284112,0.729270442815
GAT-small-AE,knn4,forward,0.5,10,3,-2.73484164605e-05,-5.46968329209e-05,negative,0.1,0.9,4.69430317604e-05,-0.000110026586939,3.17139668508e-05,1,-3.21490164478e-05,-2.42745412372e-05,-5.46968329209e-05,0.000112298101671,0,0.461483061238,0.729870734078
GAT-small-AE,knn4,midfielder,0.25,10,3,1.5452006677e-05,6.1808026708e-05,positive,0.9,0.1,3.57246515996e-05,-4.4059753418e-06,0.000119672351413,1,1.38446643241e-05,1.72912845117e-05,6.1808026708e-05,1.54817304812e-05,1,0.465635765557,1.43413858943
GAT-small-AE,knn4,midfielder,0.5,10,3,6.35209151311e-05,0.000127041830262,positive,1,0,6.07143812094e-05,3.09823739408e-06,0.000223910584696,1,5.81393176626e-05,7.04066702905e-05,0.000127041830262,3.77482427433e-05,1,0.467983445197,1.48347493826
Phase-GAT,delaunay,defender,0.25,10,3,-1.63910898074e-05,-6.55643592294e-05,negative,0.4,0.6,0.000120489981963,-0.000269761912899,8.37100876702e-05,1,-2.05376022212e-05,-1.07189355388e-05,-6.55643592294e-05,6.12867063714e-05,0,0.345427902686,2.21105502395
Phase-GAT,delaunay,defender,0.5,10,3,-4.82380305958e-05,-9.64760611917e-05,negative,0.5,0.5,0.000228440164614,-0.000575169722239,0.000108872850736,1,-5.96463034807e-05,-2.16439383154e-05,-9.64760611917e-05,0.000119063751085,0,0.351729866779,2.24183580152
Phase-GAT,delaunay,forward,0.25,10,3,1.78109828622e-05,7.1243931449e-05,positive,0.4,0.6,0.000208564119788,-6.56285771617e-05,0.000610504601453,1,2.83151980658e-06,2.16129969903e-05,7.1243931449e-05,0.000210197440556,1,0.360368703569,0.690189462601
Phase-GAT,delaunay,forward,0.5,10,3,5.98785366856e-05,0.000119757073371,positive,0.7,0.3,0.00031594532601,-0.00017639911837,0.000870697752193,1,1.81596100844e-05,7.6331658449e-05,0.000119757073371,0.000323671784787,1,0.371616079477,0.679809945356
Phase-GAT,delaunay,midfielder,0.25,10,3,1.32043835995e-05,5.2817534398e-05,positive,0.5,0.5,0.000151989962666,-0.000126193364461,0.00032791296641,1,5.56284382139e-06,1.81769085678e-05,5.2817534398e-05,5.81453225992e-05,1,0.398868289609,1.27773887221
Phase-GAT,delaunay,midfielder,0.5,10,3,4.90062164314e-05,9.80124328627e-05,positive,0.6,0.4,0.000355421171145,-0.000592005644606,0.000604276657104,1,2.08804261957e-05,8.73405540685e-05,9.80124328627e-05,0.000145130803703,1,0.405960554748,1.32183679885
Phase-GAT,knn4,defender,0.25,10,3,-8.59024674942e-06,-3.43609869977e-05,negative,0.4,0.6,0.000104256891424,-0.000290528074041,7.26451650698e-05,1,-1.15626398624e-05,-1.47449433155e-06,-3.43609869977e-05,0.000109288818232,0.333333333333,0.417959898171,2.05136746112
Phase-GAT,knn4,defender,0.5,10,3,-2.24998250031e-05,-4.49996500062e-05,negative,0.4,0.6,0.00017648223499,-0.00048556197342,0.000108879394632,0.9,-3.10486608164e-05,1.97585963097e-06,-4.49996500062e-05,0.000154303397306,0.333333333333,0.430835884278,1.9377009334
Phase-GAT,knn4,forward,0.25,10,3,2.69600603204e-05,0.000107840241281,positive,0.7,0.3,0.000183845532012,-3.64807642758e-05,0.000554562688948,1,1.45511034407e-05,3.09689771414e-05,0.000107840241281,0.00024494072367,1,0.456586284112,0.729270442815
Phase-GAT,knn4,forward,0.5,10,3,0.000103871397187,0.000207742794375,positive,0.7,0.3,0.000331057161572,-0.000109961739293,0.000856432301259,1,6.78330912493e-05,0.000121521649058,0.000207742794375,0.000423002238089,1,0.461483061238,0.729870734078
Phase-GAT,knn4,midfielder,0.25,10,3,5.09956443274e-06,2.0398257731e-05,positive,0.6,0.4,0.000141797343215,-0.000148579279582,0.000274072753059,0.8,-1.94694932636e-06,9.79338491365e-06,2.0398257731e-05,8.29750188478e-05,0.666666666667,0.465635765557,1.43413858943
Phase-GAT,knn4,midfielder,0.5,10,3,1.55457579295e-05,3.10915158591e-05,positive,0.5,0.5,0.000280046353125,-0.00025575346054,0.00062943288418,0.8,-1.76954291994e-05,3.14815899517e-05,3.10915158591e-05,0.000212424255181,0.666666666667,0.467983445197,1.48347493826
