model_id,architecture,graph_id,role_group,epsilon,n_pairs,design_rank,raw_mean_scg,normalized_mean_scg,median_frequency_residual,median_topology_residual,raw_intercept,raw_frequency_slope,raw_topology_slope,raw_adjusted_at_median_residual,raw_r2,normalized_intercept,normalized_frequency_slope,normalized_topology_slope,normalized_adjusted_at_median_residual,normalized_r2
deepsets_ae_seed23,DeepSets-AE,delaunay,forward,0.5,1154,3,6.04827028007e-08,1.20965405601e-07,0.346914886081,0.278542722351,8.74883109492e-06,-2.57753658279e-05,1.10094562867e-06,1.13633387611e-07,0.00249993294614,1.74976621898e-05,-5.15507316558e-05,2.20189125735e-06,2.27266775222e-07,0.00249993294614
deepsets_ae_seed23,DeepSets-AE,delaunay,midfielder,0.25,1306,3,3.87891145797e-06,1.55156458319e-05,0.372767557337,0.810662352104,1.42899584604e-06,6.10059944412e-06,3.71582577394e-08,3.73322419974e-06,0.00229220246025,5.71598338416e-06,2.44023977765e-05,1.48633030957e-07,1.49328967989e-05,0.00229220246025
deepsets_ae_seed23,DeepSets-AE,delaunay,midfielder,0.5,1181,3,1.43329739873e-05,2.86659479747e-05,0.377990974455,0.86957071167,1.27661357229e-05,1.01853886315e-05,-1.82615183882e-06,1.50281525429e-05,0.00153189817846,2.55322714459e-05,2.03707772631e-05,-3.65230367763e-06,3.00563050857e-05,0.00153189817846
deepsets_ae_seed23,DeepSets-AE,knn4,defender,0.25,996,3,-1.68221542634e-07,-6.72886170537e-07,0.385979354922,1.44785020027,-3.92806385052e-07,3.43548478403e-06,-6.24173050269e-07,2.95107398928e-08,0.00368528301524,-1.57122554021e-06,1.37419391361e-05,-2.49669220108e-06,1.18042959571e-07,0.00368528301524
deepsets_ae_seed23,DeepSets-AE,knn4,defender,0.5,833,3,-2.09739657582e-06,-4.19479315164e-06,0.400056029495,1.41106205874,-5.87634679452e-06,2.29877460264e-05,-3.2529384708e-06,-1.27005844771e-06,0.00711821803969,-1.1752693589e-05,4.59754920529e-05,-6.50587694161e-06,-2.54011689542e-06,0.00711821803969
deepsets_ae_seed23,DeepSets-AE,knn4,forward,0.25,1326,3,3.7358537159e-07,1.49434148636e-06,0.430484134343,0.259939313215,4.55974010824e-06,-7.75036827631e-06,-9.19580981124e-07,9.84294281294e-07,0.00761163451546,1.8238960433e-05,-3.10014731053e-05,-3.6783239245e-06,3.93717712518e-06,0.00761163451546
deepsets_ae_seed23,DeepSets-AE,knn4,forward,0.5,1163,3,1.65586110752e-06,3.31172221504e-06,0.430662457895,0.263804271559,9.66069232529e-06,-1.19334551184e-05,-3.50544879635e-06,3.59664884661e-06,0.00343970641201,1.93213846506e-05,-2.38669102368e-05,-7.0108975927e-06,7.19329769322e-06,0.00343970641201
deepsets_ae_seed23,DeepSets-AE,knn4,midfielder,0.25,1299,3,3.05103282914e-06,1.22041313166e-05,0.430463609107,0.743571626324,9.66925878732e-07,2.8817565845e-06,4.89255598233e-07,2.57121379953e-06,0.00337014274883,3.86770351493e-06,1.1527026338e-05,1.95702239293e-06,1.02848551981e-05,0.00337014274883
deepsets_ae_seed23,DeepSets-AE,knn4,midfielder,0.5,1174,3,1.19403233114e-05,2.38806466228e-05,0.440425841299,0.782862769968,7.33258376626e-06,6.42466430846e-06,1.0170217522e-06,1.09583604154e-05,0.00113468327035,1.46651675325e-05,1.28493286169e-05,2.03404350441e-06,2.19167208309e-05,0.00113468327035
deepsets_ae_seed47,DeepSets-AE,delaunay,defender,0.25,933,3,-8.85061895732e-07,-3.54024758293e-06,0.321799573575,1.8319733183,-6.72288352821e-07,8.99605870549e-06,-1.55537117432e-06,-6.2675898896e-07,0.0260272794156,-2.68915341128e-06,3.59842348219e-05,-6.2214846973e-06,-2.50703595584e-06,0.0260272794156
deepsets_ae_seed47,DeepSets-AE,delaunay,defender,0.5,794,3,-3.8610897977e-06,-7.72217959541e-06,0.326854996046,1.86520703795,-2.03076128704e-06,3.44839562058e-05,-6.4694717748e-06,-2.82641220389e-06,0.0289883240717,-4.06152257409e-06,6.89679124117e-05,-1.29389435496e-05,-5.65282440777e-06,0.0289883240717
