candidate,dev_macro_f1_mean,context_mean,geom_mean
team_mean,0.3392427989913081,0.013235216345458338,0.7383462195719387
relational_pairwise,0.35557934129362695,0.0157052054024142,0.8453067881628752
centered_team_mean,0.37019939564931076,1.160559056264295e-13,0.7280178099467811
centered_relational,0.352026640752131,1.209961020265382e-13,0.7462358026121255
team_centered,0.06997084548104957,1.1987729327718928e-13,0.015269163973868705
