frequency_ratio_level,n_expected_sets,n_matched_sets,coverage,mean_frequency_ratio,max_frequency_ratio,mean_rq_difference,max_rq_difference,mean_band_power_l1_difference,max_band_power_l1_difference,mean_density_difference,max_density_difference,mean_cut_weight_difference,max_cut_weight_difference,mean_topology_match_score,max_topology_match_score
0.5,3648,66,0.018092105263157895,0.4168460440089705,0.4639802933359177,0.002370397508659429,0.01357180465948582,0.08336920880179413,0.09279605866718355,0.0,0.0,1.556957266542299,6.591700866362263,1.6426968728527522,6.695618992541848
0.75,3648,323,0.08854166666666667,0.5946515679564044,0.7483510381858929,0.008059178711196791,0.03677451008846949,0.1189303135912809,0.1496702076371786,0.016305469556243547,0.16666666666666663,1.545007664922388,6.591700866362263,1.8350518527873014,6.695618992541848
1.0,3648,865,0.23711622807017543,0.766304999131637,0.9985295739355429,0.012198569055254944,0.04876086152299264,0.1519008990807683,0.19970591478710858,0.014104046242774566,0.16666666666666669,1.6714835181942478,6.874580070787548,1.9766234487580163,7.0710282116951815
1.25,3648,1369,0.37527412280701755,0.8951352357938827,1.2486612474098127,0.013304354554595898,0.05702075812005403,0.17798030164617112,0.24973224948196254,0.013002191380569756,0.2,1.6802059890783534,7.063009827458696,2.001512559084818,7.276580847134695
1.5,3648,1836,0.5032894736842105,1.0157863679799903,1.498573906059825,0.014284499391412865,0.06621557934181643,0.20237677544416977,0.29971478121196504,0.013035584604212053,0.33333333333333337,1.706967212261842,7.063009827458696,2.053984333139545,7.276580847134695
2.0,3648,2282,0.6255482456140351,1.1595053950471503,1.9999732812433462,0.01398995304592714,0.09460292978556661,0.231264462919997,0.39999465624866926,0.013131755769792577,0.33333333333333337,1.764636665959708,8.593482606554545,2.141208639623558,8.990360466091337
3.0,3648,2459,0.6740679824561403,1.251069510674121,2.980977710040392,0.01445440253739956,0.10557852975765775,0.24962310997700138,0.5961955420080784,0.01285075233834892,0.33333333333333337,1.8031101253146546,8.593482606554545,2.1956951612125453,8.990360466091337
