name,size,arch,seed,frac,lr,dev_bce,train_error,final_loss,steps,init_sha256,checkpoint_sha256,train_sha256,flip_sha256,batch_order,subset_sha256,oracle_candidate_queries,retained_flip_labels,training_state_forwards
N_raw_s23_f0_lr0.003,N,raw,23,0,0.003,3.365363121032715,0.0,0.0001752833923092112,300,d4f3eb242038f46edad5375e40bd669373e3c068e3da28d585a16dc4f551789c,61c72e6b4e54659cbfecfd7d2303a07e5c80152d9cc1840e2cfa3b7b8c67a0a7,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,d0105bb0ec4c63bc38fb023a940b4e40658705afddd762e92bfeb20f51d6669f,147514,0,153600
N_raw_s23_f0_lr0.001,N,raw,23,0,0.001,2.5100460052490234,0.0,0.0021182820200920105,300,d4f3eb242038f46edad5375e40bd669373e3c068e3da28d585a16dc4f551789c,c64987040b5c1227d9117174bea15a47323b47e8aea75809ef985515170fac69,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,d0105bb0ec4c63bc38fb023a940b4e40658705afddd762e92bfeb20f51d6669f,147514,0,153600
N_raw_s23_f25_lr0.01,N,raw,23,25,0.01,3.566666841506958,0.0,0.0044319964945316315,300,d4f3eb242038f46edad5375e40bd669373e3c068e3da28d585a16dc4f551789c,e580c8c753523a7497c8eae18c7a1e4d9c240d0bc389a943e43f68ab9d1a3501,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,34e1b85e0643f1557ed5cc018059864ece0856d516e48a7cfdac3bd4ec1e2340,147514,383,268500
N_raw_s23_f25_lr0.003,N,raw,23,25,0.003,2.834942102432251,0.0,0.017467107623815536,300,d4f3eb242038f46edad5375e40bd669373e3c068e3da28d585a16dc4f551789c,9cbeb2c02234d65a872797e050662e40894c86cb1e38ee91ee42bc4c2fb8c465,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,34e1b85e0643f1557ed5cc018059864ece0856d516e48a7cfdac3bd4ec1e2340,147514,383,268500
N_raw_s23_f25_lr0.001,N,raw,23,25,0.001,1.965836763381958,0.013671875,0.08847149461507797,300,d4f3eb242038f46edad5375e40bd669373e3c068e3da28d585a16dc4f551789c,767a4f98481af288fa7e5302c0a865a84d5a2217ddd14eb645255147afe8fce2,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,34e1b85e0643f1557ed5cc018059864ece0856d516e48a7cfdac3bd4ec1e2340,147514,383,268500
N_raw_s23_f100_lr0.01,N,raw,23,100,0.01,2.458989381790161,0.0,0.01657959073781967,300,d4f3eb242038f46edad5375e40bd669373e3c068e3da28d585a16dc4f551789c,b24dfb47a851a088d0f00c17cc3be2431398d3cee594275a640991a1183d635f,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,d0105bb0ec4c63bc38fb023a940b4e40658705afddd762e92bfeb20f51d6669f,147514,1534,613800
N_raw_s23_f100_lr0.003,N,raw,23,100,0.003,2.1563668251037598,0.0,0.02636277861893177,300,d4f3eb242038f46edad5375e40bd669373e3c068e3da28d585a16dc4f551789c,1a95ca58011c190ba90ca1e00bf44e4d23b7fce4978914205cddf4f673555e68,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,d0105bb0ec4c63bc38fb023a940b4e40658705afddd762e92bfeb20f51d6669f,147514,1534,613800
N_raw_s23_f100_lr0.001,N,raw,23,100,0.001,1.3753830194473267,0.013671875,0.1597372591495514,300,d4f3eb242038f46edad5375e40bd669373e3c068e3da28d585a16dc4f551789c,dd30434419a9457b7ce50c468b6570b08d02612e75bfc6f84fb9d22961faf198,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,d0105bb0ec4c63bc38fb023a940b4e40658705afddd762e92bfeb20f51d6669f,147514,1534,613800
N_raw_s47_f0_lr0.01,N,raw,47,0,0.01,4.471307754516602,0.0,3.4214572224300355e-05,300,67618814a1353128eaee8389ebe001e129a8b8759ef72b884c96950d7eac6197,36bd4794f86e296ae448adf3d347538b17b4cfa84015637c7ea6d7e85911a417,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,d0105bb0ec4c63bc38fb023a940b4e40658705afddd762e92bfeb20f51d6669f,147514,0,153600
N_raw_s47_f0_lr0.003,N,raw,47,0,0.003,3.7084550857543945,0.0,0.00017304831999354064,300,67618814a1353128eaee8389ebe001e129a8b8759ef72b884c96950d7eac6197,f16501801f260881baa691c1cc53cf77a311ce2bde307ec9f0ac8944ad560b32,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,d0105bb0ec4c63bc38fb023a940b4e40658705afddd762e92bfeb20f51d6669f,147514,0,153600
N_raw_s47_f0_lr0.001,N,raw,47,0,0.001,2.3860080242156982,0.0,0.0022464822977781296,300,67618814a1353128eaee8389ebe001e129a8b8759ef72b884c96950d7eac6197,c1fa73a21ffa567db2ed20ef8fc27dc9c91ed92a5849828e7ecf74bc6fbd5247,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,d0105bb0ec4c63bc38fb023a940b4e40658705afddd762e92bfeb20f51d6669f,147514,0,153600
N_raw_s47_f25_lr0.01,N,raw,47,25,0.01,1.1350432634353638,0.072265625,0.3247779905796051,300,67618814a1353128eaee8389ebe001e129a8b8759ef72b884c96950d7eac6197,c83ae98ae45354e729cebf0b3ee192e9f270a167ec7ae4cdd69b625c1e21552b,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,34e1b85e0643f1557ed5cc018059864ece0856d516e48a7cfdac3bd4ec1e2340,147514,383,268500
N_raw_s47_f25_lr0.003,N,raw,47,25,0.003,3.6085424423217773,0.001953125,0.016491694375872612,300,67618814a1353128eaee8389ebe001e129a8b8759ef72b884c96950d7eac6197,e4de7d994e7df8e77d4b14f52c3109e129f359e3e31ce0148d8a51e076c6d0aa,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,34e1b85e0643f1557ed5cc018059864ece0856d516e48a7cfdac3bd4ec1e2340,147514,383,268500
N_raw_s47_f25_lr0.001,N,raw,47,25,0.001,1.8913609981536865,0.015625,0.09149175137281418,300,67618814a1353128eaee8389ebe001e129a8b8759ef72b884c96950d7eac6197,3ffd080ca7597c2dbef29f1410332e9b872d088dd3903d05901b1ee9a13a5b30,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,34e1b85e0643f1557ed5cc018059864ece0856d516e48a7cfdac3bd4ec1e2340,147514,383,268500
N_raw_s47_f100_lr0.01,N,raw,47,100,0.01,1.3663791418075562,0.12890625,0.744788408279419,300,67618814a1353128eaee8389ebe001e129a8b8759ef72b884c96950d7eac6197,b14ff117ebcffd1803af17bc1ad5e2b4702d373539a5466b05e3c50ad6610955,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,d0105bb0ec4c63bc38fb023a940b4e40658705afddd762e92bfeb20f51d6669f,147514,1534,613800
