model,direction,epsilon,law,table,risk,n_valid_arms,denominator_weighted
mlpB_h32f16,coord,0.2,Q_source_greedy,flipped,0.5051546391752577,1231,48.5
mlpB_h32f16,coord,0.2,Q_source_dro,preserving,0.1488797561833241,14732,420.9168544409568
mlpB_h32f16,coord,0.2,Q_source_dro,flipped,0.47289226909965665,1231,35.18050692820393
mlpB_h32f16,coord,0.2,Q_whitebox,all_valid_arms,0.546875,1024,512.0
mlpC_h128f32,coord,0.2,Q_ref,preserving,0.15843062720608195,14732,420.9142857142858
mlpC_h128f32,coord,0.2,Q_ref,flipped,0.5052802599512591,1231,35.17142857142857
mlpC_h128f32,coord,0.2,Q_coherent,preserving,0.17343750000000005,14732,426.6666666666666
mlpC_h128f32,coord,0.2,Q_coherent,flipped,0.4598540145985402,1231,45.666666666666664
mlpC_h128f32,coord,0.2,Q_source_greedy,preserving,0.14795918367346939,14732,392.0
mlpC_h128f32,coord,0.2,Q_source_greedy,flipped,0.4661016949152542,1231,59.0
mlpC_h128f32,coord,0.2,Q_source_dro,preserving,0.15842639864996078,14732,420.8446705221863
mlpC_h128f32,coord,0.2,Q_source_dro,flipped,0.5052359375555276,1231,35.227922580765735
mlpC_h128f32,coord,0.2,Q_whitebox,all_valid_arms,0.53515625,1024,512.0
