sample_id,frame,band_id,eigenvalue_min,eigenvalue_max,energy,energy_error,mode_purity,graph_degree_mean
sc_1886347_0000,10,0,-2.220446049250313e-16,0.24970280522542865,1.0000000000000002,2.220446049250313e-16,1.0,3.73246948603186
sc_1886347_0000,10,1,0.4494804368893792,0.801673706135386,1.0,0.0,1.0,3.73246948603186
sc_1886347_0000,10,2,0.9836750374591704,1.149717528276566,0.9999999999999998,2.220446049250313e-16,1.0,3.73246948603186
sc_1886347_0000,10,3,1.2121073179706752,1.2603124387654374,0.9999999999999999,1.1102230246251565e-16,1.0,3.73246948603186
sc_1886347_0000,10,4,1.2780788079626473,1.3455684110057573,0.9999999999999999,1.1102230246251565e-16,1.0,3.73246948603186
sc_1886347_0000,10,5,1.359346714715563,1.4895711700667325,1.0000000000000002,2.220446049250313e-16,1.0,3.73246948603186
sc_1886347_0001,42,0,8.881784197001252e-16,0.2185639289907877,1.0000000000000002,2.220446049250313e-16,1.0,3.7365477954947814
sc_1886347_0001,42,1,0.47302894195482814,0.8180944377437845,1.0,0.0,1.0,3.7365477954947814
sc_1886347_0001,42,2,0.9892523932261812,1.16608497192618,1.0,0.0,1.0,3.7365477954947814
sc_1886347_0001,42,3,1.1948029585826458,1.253604652849541,1.0000000000000002,2.220446049250313e-16,1.0,3.7365477954947814
sc_1886347_0001,42,4,1.2746607594717971,1.3501032600467968,1.0,0.0,1.0,3.7365477954947814
sc_1886347_0001,42,5,1.3817431666445712,1.4753671825205643,1.0,0.0,1.0,3.7365477954947814
sc_1886347_0002,75,0,0.0,0.270372494867648,1.0,0.0,1.0,3.9092808785242177
sc_1886347_0002,75,1,0.46778020418609745,0.9739159960067104,1.0,0.0,1.0,3.9092808785242177
sc_1886347_0002,75,2,1.055122419294487,1.1609748971202427,1.0,0.0,1.0000000000000002,3.9092808785242177
sc_1886347_0002,75,3,1.1714780183920277,1.2452596591816274,1.0,0.0,1.0,3.9092808785242177
sc_1886347_0002,75,4,1.2476417735653558,1.2952877437811228,0.9999999999999999,1.1102230246251565e-16,1.0,3.9092808785242177
sc_1886347_0002,75,5,1.3317805019606093,1.504865141194918,0.9999999999999999,1.1102230246251565e-16,1.0,3.9092808785242177
sc_1886347_0003,108,0,-4.440892098500626e-16,0.20491251681881928,1.0,0.0,1.0,3.597320405752491
sc_1886347_0003,108,1,0.44559527930582954,0.8672158433216993,0.9999999999999999,1.1102230246251565e-16,1.0,3.597320405752491
sc_1886347_0003,108,2,1.0249969341143255,1.1579060645342438,1.0,0.0,1.0,3.597320405752491
sc_1886347_0003,108,3,1.2117542726426425,1.2425241277971542,1.0,0.0,1.0,3.597320405752491
sc_1886347_0003,108,4,1.2930073705743093,1.329742620347117,0.9999999999999999,1.1102230246251565e-16,1.0,3.597320405752491
