seed,arm,order,kind,threshold,old_endpoint_selected_risk,corrected_start_selected_risk,n,start_conf_coverage,unconditional_endpoint_risk,unconditional_n
s47,raw_flipmine,first,flip,13.0401,0.3404,0.8571,70,0.04778851042196238,0.6382978723404256,94
s47,raw_flipmine,random,preserve,13.0401,0.0,0.0,2256,0.31666666666666665,0.009649122807017544,2280
s47,raw_flipmine,random,flip,13.0401,0.2963,0.8286,70,0.04778851042196238,0.6170212765957447,94
s47,raw_flipmine,stratified,preserve,13.0401,0.0,0.0,2256,0.31666666666666665,0.010526315789473684,2280
s47,raw_flipmine,stratified,flip,13.0401,0.3265,0.8143,70,0.04778851042196238,0.6063829787234043,94
s47,relfeat,first,preserve,54.6725,0.0,0.0,2148,0.29833333333333334,0.0,2148
s47,relfeat,first,flip,54.6725,0.0,0.5,2,0.0010167768174885613,0.5,2
s47,relfeat,random,preserve,54.6725,0.0,0.0,2148,0.29833333333333334,0.0,2148
s47,relfeat,random,flip,54.6725,0.0,0.5,2,0.0010167768174885613,0.5,2
s47,relfeat,stratified,preserve,54.6725,0.0,0.0005,2148,0.29833333333333334,0.0004655493482309125,2148
s47,relfeat,stratified,flip,54.6725,0.0,0.5,2,0.0010167768174885613,0.5,2
s47,relflip,first,preserve,84.7794,0.0,0.0,2112,0.29333333333333333,0.0,2112
s47,relflip,first,flip,84.7794,0.0,0.2,5,0.002541942043721403,0.2,5
s47,relflip,random,preserve,84.7794,0.0,0.0,2112,0.29333333333333333,0.0,2112
s47,relflip,random,flip,84.7794,0.0,0.2,5,0.002541942043721403,0.2,5
s47,relflip,stratified,preserve,84.7794,0.0,0.0,2112,0.29333333333333333,0.0,2112
s47,relflip,stratified,flip,84.7794,0.0,0.2,5,0.002541942043721403,0.2,5
