outcome,margin,paired
unsuccessful,0.8979167318972292,0
unsuccessful,-0.2436081424416267,0
successfullyCompleted,6.468558687685493,0
successfullyCompleted,8.174387540277184,0
successfullyCompleted,-0.49959791196078057,0
successfullyCompleted,15.652931717684343,0
successfullyCompleted,4.729971628131158,0
successfullyCompleted,2.071554785566773,0
successfullyCompleted,-0.34583007057628634,0
successfullyCompleted,0.5157788130284149,0
unsuccessful,0.8952940440364923,0
unsuccessful,2.4516943801651108,0
successfullyCompleted,1.2692516866394783,0
successfullyCompleted,0.5856532862265555,0
successfullyCompleted,0.00422419949163777,1
successfullyCompleted,0.1681604546015577,0
successfullyCompleted,0.4460611276005736,0
successfullyCompleted,0.9267700730969162,0
successfullyCompleted,1.6772135810071869,0
unsuccessful,3.7359005506270506,0
unsuccessful,0.48346167524853745,0
successfullyCompleted,3.322563004408508,0
successfullyCompleted,-0.08399629378492995,0
successfullyCompleted,0.9968290738447714,0
successfullyCompleted,4.466769689301095,0
successfullyCompleted,0.2924482991171832,0
successfullyCompleted,6.073903213743,0
successfullyCompleted,0.6369802755163356,0
successfullyCompleted,13.176097238510199,0
successfullyCompleted,4.36615399463829,0
successfullyCompleted,7.133328209957197,0
successfullyCompleted,6.517751866915772,0
successfullyCompleted,7.201039225810482,0
successfullyCompleted,10.000590467544377,0
successfullyCompleted,0.5082196166008861,0
successfullyCompleted,7.54316475494613,0
successfullyCompleted,1.5938114377156203,0
unsuccessful,1.1229675424772125,0
successfullyCompleted,0.7861861203148066,0
successfullyCompleted,0.7690554667349712,0
successfullyCompleted,2.8798525193446944,0
successfullyCompleted,6.437043893093416,0
successfullyCompleted,0.8132018902805687,0
successfullyCompleted,1.1560491130574693,0
successfullyCompleted,3.3658760192832737,0
successfullyCompleted,4.9508317335440175,0
successfullyCompleted,9.199201043053279,0
successfullyCompleted,7.44713809113024,0
successfullyCompleted,3.671954722673691,0
successfullyCompleted,8.391222582985407,0
successfullyCompleted,2.0599780578802394,0
successfullyCompleted,2.7131137897419815,0
successfullyCompleted,1.197145890929341,0
successfullyCompleted,1.3966285137681258,0
successfullyCompleted,6.66115242565163,0
successfullyCompleted,2.2430670570101214,0
successfullyCompleted,3.1966641980910837,0
successfullyCompleted,1.1654429119845175,0
successfullyCompleted,0.7285904391101214,0
unsuccessful,0.036740055482077594,1
unsuccessful,-0.21778096473088043,0
successfullyCompleted,0.4578353633610095,0
successfullyCompleted,0.7210488950900356,0
unsuccessful,0.29013245013209654,0
successfullyCompleted,0.1636763296265603,0
successfullyCompleted,0.2050985109855451,0
successfullyCompleted,-0.07129325804950976,1
successfullyCompleted,-0.4960856168942699,0
unsuccessful,3.163598824598174,0
unsuccessful,0.39943422432936004,0
successfullyCompleted,-0.3549068181681304,0
successfullyCompleted,2.5381749587671267,0
successfullyCompleted,2.4134348755461237,0
successfullyCompleted,9.75267244647432,0
successfullyCompleted,0.6546875964906016,0
successfullyCompleted,0.37958654329527497,0
successfullyCompleted,5.024382526640008,0
successfullyCompleted,-0.3109182594733868,0
successfullyCompleted,5.430008921600509,0
successfullyCompleted,7.700930804102015,0
successfullyCompleted,0.8369758257520135,0
successfullyCompleted,4.353721149367831,0
successfullyCompleted,6.368041833500248,0
successfullyCompleted,7.5792780581926,0
successfullyCompleted,6.779870192869273,0
successfullyCompleted,-0.018338558520205717,1
successfullyCompleted,0.13535284688498816,1
successfullyCompleted,11.350151826248057,0
successfullyCompleted,9.973911722484502,0
successfullyCompleted,6.628761760633259,0
successfullyCompleted,12.433510504186655,0
successfullyCompleted,11.253756928507318,0
successfullyCompleted,-0.21283284887716752,0
successfullyCompleted,9.371520673902463,0
successfullyCompleted,11.460016562759778,0
successfullyCompleted,0.1107636628412283,0
successfullyCompleted,9.784546545710032,0
successfullyCompleted,9.647590808222459,0
successfullyCompleted,4.436233189337594,0
successfullyCompleted,2.477414979886061,0
successfullyCompleted,0.6881940387121726,0
unsuccessful,2.3010817328058084,0
unsuccessful,9.164115184108892,0
successfullyCompleted,7.438648314865241,0
successfullyCompleted,0.7980756014304229,0
successfullyCompleted,-0.4200390438518668,0
successfullyCompleted,4.495448584844631,0
successfullyCompleted,1.3544092440207893,0
successfullyCompleted,1.845699480175786,0
successfullyCompleted,0.8096942984630773,0
unsuccessful,-0.22354399675592435,0
successfullyCompleted,0.8374684896318205,0
successfullyCompleted,9.450789942187152,0
successfullyCompleted,14.609245207368547,0
successfullyCompleted,11.626263829472606,0
successfullyCompleted,0.76321777366206,0
successfullyCompleted,5.684916743802902,0
successfullyCompleted,2.554078557831276,0
successfullyCompleted,-0.46985283765338215,0
successfullyCompleted,-0.2418198837195245,0
successfullyCompleted,5.591634402061493,0
unsuccessful,4.454047946792167,0
successfullyCompleted,5.419088382123803,0
successfullyCompleted,-0.036531280103594854,0
successfullyCompleted,2.372868500487014,0
successfullyCompleted,-0.46085338683143534,0
unsuccessful,1.2790063563098246,0
unsuccessful,0.818508061486507,0
unsuccessful,0.25967305523745143,0
successfullyCompleted,5.568624498446635,0
unsuccessful,2.2714140940553516,0
successfullyCompleted,3.5822173566091724,0
successfullyCompleted,0.910948027877678,0
successfullyCompleted,11.678211406304396,0
successfullyCompleted,22.605541849651008,0
successfullyCompleted,8.042581758629826,0
successfullyCompleted,1.5733922074026396,0
successfullyCompleted,1.102711983088965,0
successfullyCompleted,13.77911252112915,0
successfullyCompleted,17.493732093972213,0
unsuccessful,3.1634907754056947,0
unsuccessful,1.1304603219801277,0
successfullyCompleted,9.703038437265116,0
successfullyCompleted,12.357400427640219,0
successfullyCompleted,3.8597001787530525,0
successfullyCompleted,1.8069863797527672,0
unsuccessful,4.994770290447677,0
successfullyCompleted,2.8676492407501697,0
unsuccessful,0.3804931025741689,0
successfullyCompleted,10.229031443195883,0
successfullyCompleted,0.6239558183854763,0
successfullyCompleted,0.6388592021350255,0
successfullyCompleted,10.070733457258457,0
successfullyCompleted,3.718068031901968,0
successfullyCompleted,-0.35440194256041857,0
successfullyCompleted,0.24773428700360456,0
successfullyCompleted,5.492134374255591,0
unsuccessful,3.6272933623264514,0
successfullyCompleted,0.05741001701499693,0
successfullyCompleted,1.9481215923442443,0
successfullyCompleted,-0.18489621025372127,0
successfullyCompleted,0.26585033490326526,0
unsuccessful,6.943474230215053,0
successfullyCompleted,0.4007948270480888,0
successfullyCompleted,-0.06677153465066793,0
successfullyCompleted,2.8725059832724584,0
successfullyCompleted,4.2791685193109945,0
successfullyCompleted,-0.2959882391933988,0
successfullyCompleted,0.5861447080448892,0
successfullyCompleted,2.252009531513226,0
successfullyCompleted,1.203915880198219,0
successfullyCompleted,3.9306550475815696,0
successfullyCompleted,11.066719135524199,0
successfullyCompleted,7.799652842645097,0
successfullyCompleted,1.743105939133696,0
successfullyCompleted,0.20112425760014618,0
unsuccessful,2.843486297562321,0
unsuccessful,10.195196097111314,0
successfullyCompleted,-0.10660951524097162,0
unsuccessful,3.4241955682386824,0
unsuccessful,2.2427370086884904,0
successfullyCompleted,-0.46221990377290956,0
unsuccessful,2.574833166884648,0
successfullyCompleted,-0.2043906139576353,0
unsuccessful,3.6348387472500745,0
successfullyCompleted,0.09263124211192808,1
successfullyCompleted,2.8893413336968945,0
unsuccessful,3.319974748817721,0
successfullyCompleted,-0.05813299456388177,1
successfullyCompleted,1.0210851105933183,0
successfullyCompleted,4.569876554724338,0
successfullyCompleted,4.950109317435797,0
successfullyCompleted,6.126794477428942,0
successfullyCompleted,0.03625279820131089,0
successfullyCompleted,9.584666935909596,0
successfullyCompleted,0.05819480313005554,0
successfullyCompleted,7.630884894851077,0
successfullyCompleted,6.617555508552901,0
successfullyCompleted,4.868398940157903,0
successfullyCompleted,1.702384123335932,0
successfullyCompleted,5.094729619605146,0
successfullyCompleted,2.5754885738284714,0
successfullyCompleted,7.476998242648121,0
successfullyCompleted,4.057301201307467,0
successfullyCompleted,3.777749968995658,0
successfullyCompleted,5.0856499211462,0
successfullyCompleted,1.1044302294916915,0
successfullyCompleted,2.1591918543722026,1
unsuccessful,0.5226915732167288,0
successfullyCompleted,0.5209600409919786,0
unsuccessful,4.980009115726668,0
successfullyCompleted,14.619253655013006,0
unsuccessful,2.361169077021387,0
successfullyCompleted,-0.4659653273687099,0
unsuccessful,-0.28408653814147555,0
unsuccessful,-0.2745298626793647,0
unsuccessful,2.7303855893372093,0
successfullyCompleted,9.280020165744444,0
successfullyCompleted,5.887137024824688,0
successfullyCompleted,3.110887037227584,0
successfullyCompleted,5.869566010961573,0
successfullyCompleted,2.700960023937376,0
successfullyCompleted,4.342200871545556,0
successfullyCompleted,4.082793826075898,0
unsuccessful,1.2328786140122954,0
unsuccessful,-0.04528469277429248,1
unsuccessful,0.19545039743227044,0
successfullyCompleted,3.023522178114672,0
unsuccessful,0.12431595161440079,0
successfullyCompleted,-0.2599688039199353,0
successfullyCompleted,0.01219503252840981,0
successfullyCompleted,11.114137654652948,0
unsuccessful,14.5331716370248,0
successfullyCompleted,1.1521789188071327,0
unsuccessful,1.3471860957060204,0
unsuccessful,0.1624782418523989,0
unsuccessful,0.9507971799384947,0
successfullyCompleted,0.10830540000276467,0
successfullyCompleted,0.05896134180590462,1
successfullyCompleted,0.3285085623239826,0
unsuccessful,2.500416113287469,0
successfullyCompleted,0.9722096113773275,0
unsuccessful,-0.10324460364310273,0
successfullyCompleted,1.7215584372432007,0
successfullyCompleted,2.54945485599385,0
successfullyCompleted,0.8713142281226629,0
successfullyCompleted,6.666763695448551,0
successfullyCompleted,-0.38020455288667615,0
successfullyCompleted,9.564696454824176,0
successfullyCompleted,5.407707277101089,0
successfullyCompleted,1.0236009119189389,0
unsuccessful,15.714295719483587,0
successfullyCompleted,0.820037054640518,0
successfullyCompleted,1.6758895300286731,0
successfullyCompleted,0.7376212919636584,0
unsuccessful,2.339205192697608,0
unsuccessful,2.6600624904611867,0
unsuccessful,-0.39778256236925746,0
successfullyCompleted,-0.03798077129870753,1
successfullyCompleted,2.7957536479546254,0
successfullyCompleted,5.646283929966656,0
successfullyCompleted,-0.19078136757607872,0
successfullyCompleted,0.946557155011611,0
successfullyCompleted,-0.4736637502294408,0
unsuccessful,1.727816176597397,0
successfullyCompleted,-0.42346721184011515,0
unsuccessful,-0.06437667047260703,0
successfullyCompleted,0.5400693902265212,0
unsuccessful,0.23366308085025578,0
successfullyCompleted,2.167757931657387,0
successfullyCompleted,9.022540256518495,0
successfullyCompleted,0.48972447791106954,0
successfullyCompleted,9.190271076968852,0
successfullyCompleted,12.96947888962391,0
successfullyCompleted,2.010926970660863,0
successfullyCompleted,0.9357456498970396,0
successfullyCompleted,5.089508469046031,0
successfullyCompleted,8.241081594980445,0
successfullyCompleted,0.3668247666300608,0
successfullyCompleted,3.0104026859628257,0
successfullyCompleted,0.9063309776741588,0
unsuccessful,0.47890143321584944,0
successfullyCompleted,-0.12769166500861906,0
unsuccessful,11.718812500214828,0
unsuccessful,-0.40532649279523614,0
successfullyCompleted,1.2723362382476602,0
unsuccessful,0.8190450569875372,0
successfullyCompleted,4.166476502131604,0
successfullyCompleted,3.1205954331298456,0
successfullyCompleted,3.214001184608233,0
successfullyCompleted,1.036362395044377,0
successfullyCompleted,1.2854327232915599,0
successfullyCompleted,3.9766334036284805,0
successfullyCompleted,10.200116561985629,0
successfullyCompleted,2.877513810983115,0
unsuccessful,0.8692156583985813,0
unsuccessful,0.8140003161152882,0
unsuccessful,0.5758802216577656,0
successfullyCompleted,-0.030658576738126053,1
successfullyCompleted,0.5657226335730965,0
unsuccessful,4.630054980323938,0
successfullyCompleted,0.6510868907127452,0
successfullyCompleted,-0.25059435915286893,0
successfullyCompleted,10.76454660997473,0
successfullyCompleted,14.995422131923636,0
unsuccessful,2.9614693020401615,0
successfullyCompleted,0.9452318802386985,0
successfullyCompleted,1.3573100210703504,0
successfullyCompleted,3.124927555037767,0
successfullyCompleted,0.08743530057218074,0
successfullyCompleted,6.615370401779079,0
successfullyCompleted,2.567564053333199,0
successfullyCompleted,1.6528117646366662,0
successfullyCompleted,0.960398632052373,0
successfullyCompleted,12.114802960075483,0
successfullyCompleted,3.6076149540033926,0
unsuccessful,13.908764182790595,0
successfullyCompleted,-0.43153062372326945,0
successfullyCompleted,-0.28659486679857116,0
