AB_acc_all,CCM,CCM_denominator,J_all,J_retained,P_start,arm,arm_label,atomic_joint_all,baseline110_n_retained,baseline111_n_retained,best_epoch,checkpoint_sha256,cov_dev_median,cov_dev_top_quartile,coverage_parent,coverage_quartet,dev_thr_median,dev_thr_top_quartile,dev_thr_top_tertile,endpoint_conf_coverage_flip,endpoint_conf_coverage_keep,endpoint_conf_err_flip,endpoint_conf_err_keep,flip_err_all,flip_err_retained,flip_err_retained_dev_median,flip_err_retained_dev_top_quartile,flip_err_retained_startok,flip_err_startok_all,flip_n_retained,flip_n_retained_startok,flip_n_startok_all,full_repair_n_retained,keep_err_all,keep_err_retained,keep_err_retained_dev_median,keep_err_retained_dev_top_quartile,keep_err_retained_startok,keep_err_startok_all,keep_n_retained,keep_n_retained_startok,keep_n_startok_all,n_parents,n_quartets,n_quartets_retained_startok,seed
0.8930817610062893,0.864406779661017,118,0.6415094339622641,0.5569620253164557,0.9937106918238994,pretrained_flip,BCE-only,0.7421383647798742,10,44,4,09c4c51825595e5c0290b2fa2c9452db07f190baf8ee6e327e2d319abf8711c5,0.5471698113207547,0.41509433962264153,0.4864864864864865,0.4968553459119497,6.7993083000183105,8.655401706695557,7.797455787658691,0.29874213836477986,0.3553459119496855,0.0,0.017699115044247787,0.1069182389937107,0.12658227848101267,0.11494252873563218,0.09090909090909091,0.12658227848101267,0.10759493670886076,79,79,158,44,0.15723270440251572,0.16455696202531644,0.16091954022988506,0.19696969696969696,0.16455696202531644,0.1518987341772152,158,158,316,74,159,79,803
0.9056603773584906,0.9024390243902439,123,0.6981132075471698,0.6119402985074627,1.0,pretrained_flip,BCE-only,0.7735849056603774,6,41,2,78d0ed9b05425c3f66f501eb2d6a4a4fd5d4838f0488600a53e3468935772f5b,0.5031446540880503,0.42138364779874216,0.4594594594594595,0.42138364779874216,6.155930757522583,7.0151625871658325,6.718837261199951,0.27672955974842767,0.33962264150943394,0.0,0.018518518518518517,0.09433962264150944,0.08955223880597014,0.075,0.08955223880597014,0.08955223880597014,0.09433962264150944,67,67,159,41,0.1289308176100629,0.16417910447761194,0.15,0.16417910447761194,0.16417910447761194,0.1289308176100629,134,134,318,74,159,67,805
0.9119496855345912,0.904,125,0.710691823899371,0.6785714285714286,1.0,pretrained_flip,BCE-only,0.7861635220125787,7,57,12,a6ca59fbeb162dd92dcfe52905ce5fb1c47f0bab3e12fbe57761d2a98d5dc77c,0.6037735849056604,0.48427672955974843,0.5135135135135135,0.5283018867924528,8.995277404785156,11.392716646194458,10.396422386169434,0.34276729559748426,0.3522012578616352,0.0,0.0,0.0880503144654088,0.08333333333333333,0.09375,0.07792207792207792,0.08333333333333333,0.0880503144654088,84,84,159,57,0.11949685534591195,0.13095238095238096,0.14583333333333334,0.13636363636363635,0.13095238095238096,0.11949685534591195,168,168,318,74,159,84,806
0.9182389937106918,0.9047619047619048,126,0.7169811320754716,0.6885245901639344,0.9811320754716981,ordered,ordered rel10,0.7924528301886793,3,42,15,17ba61c65dbba31545516f488a96b3a92a1ba3561587451c4fe9d8f6c8ff6966,0.559748427672956,0.3270440251572327,0.3918918918918919,0.3836477987421384,8.392159938812256,10.091976642608643,9.569931030273438,0.2578616352201258,0.24528301886792453,0.0,0.0,0.08176100628930817,0.04918032786885246,0.06741573033707865,0.057692307692307696,0.04918032786885246,0.08333333333333333,61,61,156,42,0.11635220125786164,0.13934426229508196,0.1404494382022472,0.16346153846153846,0.13934426229508196,0.11217948717948718,122,122,312,74,159,61,803
0.9308176100628931,0.9107142857142857,112,0.6415094339622641,0.6666666666666666,1.0,ordered,ordered rel10,0.7044025157232704,5,46,2,9c19f53267962a7ebed84e6d995d0127335665eecbe041daf4a4cc6ab95be26f,0.5157232704402516,0.3522012578616352,0.43243243243243246,0.4339622641509434,6.551820278167725,7.607680797576904,7.1757121086120605,0.29559748427672955,0.2861635220125786,0.0,0.03296703296703297,0.06918238993710692,0.07246376811594203,0.07317073170731707,0.017857142857142856,0.07246376811594203,0.06918238993710692,69,69,159,46,0.16666666666666666,0.13768115942028986,0.13414634146341464,0.14285714285714285,0.13768115942028986,0.16666666666666666,138,138,318,74,159,69,805
0.9245283018867925,0.90625,128,0.7295597484276729,0.7222222222222222,1.0,ordered,ordered rel10,0.8050314465408805,5,52,11,b5359af1d278a12cc308e240b694a6356cecd96ba52ce4e30c02ced6169cf240,0.5849056603773585,0.36477987421383645,0.44594594594594594,0.4528301886792453,9.085315704345703,10.273751258850098,9.749801635742188,0.2893081761006289,0.279874213836478,0.0,0.011235955056179775,0.07547169811320754,0.06944444444444445,0.06451612903225806,0.05172413793103448,0.06944444444444445,0.07547169811320754,72,72,159,52,0.1069182389937107,0.11805555555555555,0.12365591397849462,0.14655172413793102,0.11805555555555555,0.1069182389937107,144,144,318,74,159,72,806
0.9245283018867925,0.9098360655737705,122,0.6981132075471698,0.6829268292682927,1.0,matched,matched rel10,0.7672955974842768,5,56,11,05c1b1b037af19098b3f87c880d8d89ee5d11f6f01e73189d65ba8bedc205593,0.6226415094339622,0.4276729559748428,0.5135135135135135,0.5157232704402516,9.300948143005371,10.563769578933716,10.082004229227701,0.3270440251572327,0.3113207547169811,0.0,0.020202020202020204,0.07547169811320754,0.06097560975609756,0.09090909090909091,0.07352941176470588,0.06097560975609756,0.07547169811320754,82,82,159,56,0.1320754716981132,0.13414634146341464,0.1111111111111111,0.125,0.13414634146341464,0.1320754716981132,164,164,318,74,159,82,803
0.8930817610062893,0.8770491803278688,122,0.6729559748427673,0.7,1.0,matched,matched rel10,0.7672955974842768,10,56,2,b4561bf3b3c49c2e9c11be9b0a7b396f5700e136d4ec74890fb80eaf697132c9,0.5849056603773585,0.44025157232704404,0.5,0.5031446540880503,6.074814558029175,7.667027473449707,7.021294911702474,0.330188679245283,0.330188679245283,0.009523809523809525,0.01904761904761905,0.1069182389937107,0.125,0.11827956989247312,0.14285714285714285,0.125,0.1069182389937107,80,80,159,56,0.1320754716981132,0.1,0.12365591397849462,0.11428571428571428,0.1,0.1320754716981132,160,160,318,74,159,80,805
0.9182389937106918,0.9105691056910569,123,0.7044025157232704,0.5142857142857142,1.0,matched,matched rel10,0.7735849056603774,6,18,4,0b9d33778d1a232ce6a24fe1ddb190a18ccd5928b3b784f94df87ed86d2dbe0b,0.3333333333333333,0.18238993710691823,0.21621621621621623,0.22012578616352202,7.422219276428223,8.724441766738892,8.418085416158041,0.1540880503144654,0.16666666666666666,0.0,0.0,0.08176100628930817,0.17142857142857143,0.11320754716981132,0.13793103448275862,0.17142857142857143,0.08176100628930817,35,35,159,18,0.12264150943396226,0.17142857142857143,0.1792452830188679,0.20689655172413793,0.17142857142857143,0.12264150943396226,70,70,318,74,159,35,806
0.8113207547169812,0.7563025210084033,119,0.5660377358490566,0.5308641975308642,0.9937106918238994,shuffled_matched,shuffled-matched,0.7484276729559748,20,43,1,e1469a3865310676ce7483f20be2e7c7232c7f7a836add60a372c187d2afef3d,0.6352201257861635,0.3836477987421384,0.527027027027027,0.5094339622641509,6.086316823959351,8.639759302139282,7.640573183695474,0.3050314465408805,0.3584905660377358,0.010309278350515464,0.043859649122807015,0.18867924528301888,0.25925925925925924,0.26732673267326734,0.29508196721311475,0.25925925925925924,0.189873417721519,81,81,158,43,0.1509433962264151,0.12345679012345678,0.12871287128712872,0.13114754098360656,0.12345679012345678,0.14556962025316456,162,162,316,74,159,81,803
