111_regression_n,J,J_diff_all,J_diff_all_parent_boot95,J_diff_common_retained,J_diff_common_retained_boot95,J_retained,P_start,arm,arm_label,baseline,baseline110_n,baseline110_n_retained,baseline111_n,coverage_quartet,flip_err_all,flip_err_diff_common_retained,flip_err_diff_common_retained_boot95,flip_err_retained,flip_err_retained_startok,flip_n_retained,full_repair_n,full_repair_n_retained,keep_err_all,keep_err_diff_common_retained,keep_err_diff_common_retained_boot95,keep_err_retained,keep_err_retained_startok,keep_n_retained,migration_n,n_common_retained_quartets,n_parents,n_quartets,row_type,seed
,0.6415094339622641,,,,,0.5569620253164557,0.9937106918238994,pretrained_flip,BCE-only,,,10,,0.4968553459119497,0.1069182389937107,,,0.12658227848101267,0.12658227848101267,79,,44,0.15723270440251572,,,0.16455696202531644,0.16455696202531644,158,,,74,159,arm,803
,0.6981132075471698,,,,,0.6119402985074627,1.0,pretrained_flip,BCE-only,,,6,,0.42138364779874216,0.09433962264150944,,,0.08955223880597014,0.08955223880597014,67,,41,0.1289308176100629,,,0.16417910447761194,0.16417910447761194,134,,,74,159,arm,805
,0.710691823899371,,,,,0.6785714285714286,1.0,pretrained_flip,BCE-only,,,7,,0.5283018867924528,0.0880503144654088,,,0.08333333333333333,0.08333333333333333,84,,57,0.11949685534591195,,,0.13095238095238096,0.13095238095238096,168,,,74,159,arm,806
,0.7169811320754716,,,,,0.6885245901639344,0.9811320754716981,ordered,ordered rel10,,,3,,0.3836477987421384,0.08176100628930817,,,0.04918032786885246,0.04918032786885246,61,,42,0.11635220125786164,,,0.13934426229508196,0.13934426229508196,122,,,74,159,arm,803
,0.6415094339622641,,,,,0.6666666666666666,1.0,ordered,ordered rel10,,,5,,0.4339622641509434,0.06918238993710692,,,0.07246376811594203,0.07246376811594203,69,,46,0.16666666666666666,,,0.13768115942028986,0.13768115942028986,138,,,74,159,arm,805
,0.7295597484276729,,,,,0.7222222222222222,1.0,ordered,ordered rel10,,,5,,0.4528301886792453,0.07547169811320754,,,0.06944444444444445,0.06944444444444445,72,,52,0.1069182389937107,,,0.11805555555555555,0.11805555555555555,144,,,74,159,arm,806
,0.6981132075471698,,,,,0.6829268292682927,1.0,matched,matched rel10,,,5,,0.5157232704402516,0.07547169811320754,,,0.06097560975609756,0.06097560975609756,82,,56,0.1320754716981132,,,0.13414634146341464,0.13414634146341464,164,,,74,159,arm,803
,0.6729559748427673,,,,,0.7,1.0,matched,matched rel10,,,10,,0.5031446540880503,0.1069182389937107,,,0.125,0.125,80,,56,0.1320754716981132,,,0.1,0.1,160,,,74,159,arm,805
,0.7044025157232704,,,,,0.5142857142857142,1.0,matched,matched rel10,,,6,,0.22012578616352202,0.08176100628930817,,,0.17142857142857143,0.17142857142857143,35,,18,0.12264150943396226,,,0.17142857142857143,0.17142857142857143,70,,,74,159,arm,806
,0.5660377358490566,,,,,0.5308641975308642,0.9937106918238994,shuffled_matched,shuffled-matched,,,20,,0.5094339622641509,0.18867924528301888,,,0.25925925925925924,0.25925925925925924,81,,43,0.1509433962264151,,,0.12345679012345678,0.12345679012345678,162,,,74,159,arm,803
