encoder_seed,head,parent,n_quartets,S,J_star,J,J_head_dev
raw_clean_s11,logistic_static,354,6,0.8333333333333334,0.0,0.0,0.0
raw_clean_s11,logistic_static,357,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,362,3,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,363,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,370,2,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,372,3,0.3333333333333333,0.0,0.0,0.0
raw_clean_s11,logistic_static,376,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,380,3,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,399,3,1.0,1.0,0.6666666666666666,0.0
raw_clean_s11,logistic_static,400,6,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0
raw_clean_s11,logistic_static,418,2,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,419,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,422,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,427,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,433,3,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,437,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,443,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,444,6,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,455,2,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,457,3,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,463,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,469,3,0.6666666666666666,0.0,0.0,0.0
raw_clean_s11,logistic_static,484,2,0.5,0.0,0.0,0.0
raw_clean_s11,logistic_static,485,2,1.0,1.0,1.0,0.0
raw_clean_s11,logistic_static,489,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,491,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_static,493,6,1.0,0.8333333333333334,0.5,0.0
raw_clean_s11,logistic_static,502,3,1.0,0.0,0.0,1.0
raw_clean_s11,ranking_static,1,1,1.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,10,1,1.0,0.0,0.0,1.0
raw_clean_s11,ranking_static,13,1,1.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,15,5,0.6,0.0,0.0,0.0
raw_clean_s11,ranking_static,16,4,0.25,0.0,0.0,0.0
raw_clean_s11,ranking_static,35,1,0.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,37,1,1.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,39,1,0.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,49,1,1.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,53,1,1.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,55,2,1.0,0.5,0.0,0.0
raw_clean_s11,ranking_static,66,1,1.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,81,3,1.0,0.0,1.0,0.0
raw_clean_s11,ranking_static,82,4,1.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,84,8,0.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,87,1,0.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,90,10,1.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,96,2,1.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,98,2,0.5,0.0,0.0,0.0
raw_clean_s11,ranking_static,99,1,0.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,100,3,1.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,102,2,0.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,105,1,0.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,106,1,0.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,107,6,0.16666666666666666,0.0,0.0,0.0
raw_clean_s11,ranking_static,109,1,1.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,115,1,1.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,117,1,1.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,125,1,0.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,126,3,0.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,134,1,1.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,135,1,1.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,136,4,0.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,140,1,0.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,145,1,1.0,1.0,0.0,0.0
raw_clean_s11,ranking_static,147,1,1.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,149,1,1.0,0.0,0.0,1.0
raw_clean_s11,ranking_static,161,1,1.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,171,1,1.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,173,1,0.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,174,1,0.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,183,2,1.0,0.0,0.0,0.0
