encoder_seed,head,S,J_star,J,J_head_dev_threshold,head_dev_threshold,ordering_failure,global_incompatibility,operating_point_gap
raw_clean_s11,logistic_static,0.5654008438818565,0.06751054852320673,0.0632911392405063,0.046413502109704644,-6.654950583029487,0.4345991561181435,0.4978902953586498,0.004219409282700426
raw_clean_s11,ranking_static,0.5654008438818565,0.06751054852320673,0.0632911392405063,0.046413502109704644,-6.65545713028939,0.4345991561181435,0.4978902953586498,0.004219409282700426
raw_clean_s11,mlp_static,0.5654008438818565,0.06751054852320673,0.016877637130801686,0.05063291139240506,-5.768612384796143,0.4345991561181435,0.4978902953586498,0.05063291139240504
raw_clean_s11,logistic_flip,0.5738396624472573,0.0632911392405063,0.02531645569620253,0.0379746835443038,0.040950139293499443,0.42616033755274274,0.5105485232067509,0.03797468354430378
raw_clean_s11,ranking_flip,0.5738396624472573,0.09704641350210973,0.029535864978902954,0.0379746835443038,-0.2615302237786882,0.42616033755274274,0.4767932489451475,0.06751054852320677
raw_clean_s11,mlp_flip,0.48101265822784794,0.07594936708860757,0.03797468354430379,0.046413502109704644,-0.4125829339027405,0.518987341772152,0.4050632911392404,0.03797468354430378
raw_flipmine_s11,logistic_static,0.7257383966244724,0.1350210970464136,0.08860759493670887,0.08016877637130802,-1.338943350679905,0.27426160337552763,0.5907172995780587,0.04641350210970473
raw_flipmine_s11,ranking_static,0.7257383966244724,0.1350210970464136,0.08860759493670887,0.08016877637130802,-1.3412438001691953,0.27426160337552763,0.5907172995780587,0.04641350210970473
raw_flipmine_s11,mlp_static,0.7341772151898733,0.14345991561181443,0.08438818565400845,0.08016877637130802,-1.001260757446289,0.26582278481012667,0.590717299578059,0.05907172995780598
raw_flipmine_s11,logistic_flip,0.7299578059071729,0.13502109704641363,0.0759493670886076,0.08016877637130802,-1.9263748783625019,0.27004219409282715,0.5949367088607592,0.05907172995780603
raw_flipmine_s11,ranking_flip,0.7299578059071729,0.13502109704641363,0.0759493670886076,0.08016877637130802,-1.9273584796036474,0.27004219409282715,0.5949367088607592,0.05907172995780603
raw_flipmine_s11,mlp_flip,0.7004219409282699,0.1350210970464136,0.0632911392405063,0.08860759493670886,-1.4624416828155518,0.2995780590717301,0.5654008438818563,0.0717299578059073
relfeat_s11,logistic_static,0.8734177215189871,0.31645569620253194,0.14345991561181434,0.09282700421940929,-3.5684164010038373,0.1265822784810129,0.5569620253164551,0.1729957805907176
relfeat_s11,ranking_static,0.8734177215189871,0.31645569620253194,0.14345991561181434,0.09282700421940929,-3.569224776200844,0.1265822784810129,0.5569620253164551,0.1729957805907176
relfeat_s11,mlp_static,0.8734177215189871,0.3122362869198315,0.13924050632911392,0.09282700421940929,-3.3982388973236084,0.1265822784810129,0.5611814345991556,0.1729957805907176
relfeat_s11,logistic_flip,0.852320675105485,0.32067510548523237,0.27848101265822783,0.27848101265822783,0.03964551799690952,0.14767932489451496,0.5316455696202527,0.04219409282700454
relfeat_s11,ranking_flip,0.8481012658227846,0.33333333333333365,0.2911392405063291,0.29957805907172996,0.05273406169013661,0.15189873417721544,0.514767932489451,0.04219409282700454
relfeat_s11,mlp_flip,0.852320675105485,0.32911392405063317,0.2911392405063291,0.26582278481012656,0.13293814659118652,0.14767932489451496,0.5232067510548519,0.037974683544304055
relflip_s11,logistic_static,0.8734177215189871,0.4092827004219412,0.3375527426160337,0.31223628691983124,-0.3669953307406857,0.1265822784810129,0.4641350210970459,0.07172995780590752
relflip_s11,ranking_static,0.8734177215189871,0.4092827004219412,0.3375527426160337,0.31223628691983124,-0.3734422114311968,0.1265822784810129,0.4641350210970459,0.07172995780590752
relflip_s11,mlp_static,0.8691983122362867,0.41350210970464163,0.32489451476793246,0.3291139240506329,-0.044659316539764404,0.13080168776371326,0.4556962025316451,0.08860759493670917
relflip_s11,logistic_flip,0.8734177215189871,0.4092827004219412,0.35021097046413496,0.3459915611814346,0.3350243487729472,0.1265822784810129,0.4641350210970459,0.05907172995780624
relflip_s11,ranking_flip,0.8734177215189871,0.4092827004219412,0.35021097046413496,0.3459915611814346,0.33716882688594296,0.1265822784810129,0.4641350210970459,0.05907172995780624
relflip_s11,mlp_flip,0.8734177215189871,0.4092827004219412,0.3586497890295358,0.3459915611814346,0.28840869665145874,0.1265822784810129,0.4641350210970459,0.05063291139240539
raw_clean_s23,logistic_static,0.5443037974683544,0.07594936708860757,0.05063291139240505,0.02531645569620253,-5.764730035837767,0.45569620253164556,0.4683544303797469,0.02531645569620252
raw_clean_s23,ranking_static,0.5443037974683544,0.07594936708860757,0.05063291139240505,0.02531645569620253,-5.7648762602759955,0.45569620253164556,0.4683544303797469,0.02531645569620252
raw_clean_s23,mlp_static,0.5443037974683544,0.07172995780590714,0.012658227848101264,0.02531645569620253,-4.803580284118652,0.45569620253164556,0.4725738396624473,0.05907172995780588
raw_clean_s23,logistic_flip,0.5485232067510548,0.10548523206751055,0.02109704641350211,0.05063291139240506,-0.15191775976716815,0.4514767932489452,0.4430379746835443,0.08438818565400844
raw_clean_s23,ranking_flip,0.5485232067510548,0.09282700421940927,0.02531645569620253,0.0379746835443038,-0.1880632786793024,0.4514767932489452,0.45569620253164556,0.06751054852320675
raw_clean_s23,mlp_flip,0.535864978902953,0.09282700421940929,0.016877637130801686,0.03375527426160337,-0.20768095552921295,0.46413502109704696,0.4430379746835438,0.0759493670886076
raw_flipmine_s23,logistic_static,0.6666666666666665,0.14345991561181437,0.05063291139240505,0.0759493670886076,-0.8388876758512147,0.3333333333333335,0.5232067510548521,0.09282700421940931
raw_flipmine_s23,ranking_static,0.6666666666666665,0.13924050632911394,0.05063291139240505,0.0970464135021097,-0.8748938563542659,0.3333333333333335,0.5274261603375525,0.08860759493670889
raw_flipmine_s23,mlp_static,0.6624472573839661,0.1223628691983123,0.05063291139240505,0.08016877637130802,-1.2556345462799072,0.33755274261603385,0.5400843881856539,0.07172995780590724
raw_flipmine_s23,logistic_flip,0.6624472573839661,0.14345991561181437,0.08860759493670887,0.08438818565400844,-0.5030813295929661,0.33755274261603385,0.5189873417721518,0.054852320675105495
raw_flipmine_s23,ranking_flip,0.6624472573839661,0.1476793248945148,0.08860759493670887,0.08438818565400844,-0.4677684037063834,0.33755274261603385,0.5147679324894514,0.05907172995780592
raw_flipmine_s23,mlp_flip,0.6540084388185653,0.14345991561181437,0.0759493670886076,0.08438818565400844,-0.30148375034332275,0.3459915611814347,0.5105485232067509,0.06751054852320677
relfeat_s23,logistic_static,0.8101265822784808,0.23206751054852337,0.16877637130801687,0.0970464135021097,-3.9510198329384476,0.18987341772151922,0.5780590717299574,0.0632911392405065
relfeat_s23,ranking_static,0.8101265822784808,0.23206751054852337,0.16877637130801687,0.0970464135021097,-3.9513925881261684,0.18987341772151922,0.5780590717299574,0.0632911392405065
relfeat_s23,mlp_static,0.8101265822784808,0.227848101265823,0.16033755274261605,0.08016877637130802,-3.60994291305542,0.18987341772151922,0.5822784810126578,0.06751054852320695
relfeat_s23,logistic_flip,0.8185654008438816,0.29957805907173013,0.2742616033755274,0.22784810126582278,-0.37651715173550304,0.18143459915611837,0.5189873417721516,0.025316455696202722
relfeat_s23,ranking_flip,0.8185654008438816,0.29957805907173013,0.2869198312236287,0.2109704641350211,-0.3494747519282022,0.18143459915611837,0.5189873417721516,0.012658227848101444
relfeat_s23,mlp_flip,0.8101265822784808,0.28691983122362885,0.270042194092827,0.24472573839662448,-0.3818478286266327,0.18987341772151922,0.5232067510548519,0.01687763713080187
relflip_s23,logistic_static,0.9198312236286916,0.44303797468354467,0.32489451476793246,0.32489451476793246,0.00903062319488157,0.08016877637130837,0.47679324894514696,0.1181434599156122
relflip_s23,ranking_static,0.9198312236286916,0.44303797468354467,0.32489451476793246,0.32489451476793246,0.006614714619153972,0.08016877637130837,0.47679324894514696,0.1181434599156122
relflip_s23,mlp_static,0.9198312236286916,0.43881856540084424,0.30801687763713076,0.4177215189873418,0.8379188776016235,0.08016877637130837,0.4810126582278474,0.13080168776371348
relflip_s23,logistic_flip,0.9198312236286916,0.4514767932489455,0.4092827004219408,0.4008438818565401,-0.6717945826721916,0.08016877637130837,0.4683544303797461,0.0421940928270047
relflip_s23,ranking_flip,0.9198312236286916,0.4514767932489455,0.4092827004219408,0.4008438818565401,-0.673836949171104,0.08016877637130837,0.4683544303797461,0.0421940928270047
relflip_s23,mlp_flip,0.9198312236286916,0.45569620253164594,0.4219409282700421,0.3924050632911392,-0.27807170152664185,0.08016877637130837,0.4641350210970457,0.03375527426160385
raw_clean_s47,logistic_static,0.5443037974683544,0.06751054852320672,0.05485232067510547,0.004219409282700422,-6.652218813005771,0.45569620253164556,0.47679324894514774,0.01265822784810125
raw_clean_s47,ranking_static,0.5443037974683544,0.06751054852320672,0.05485232067510547,0.004219409282700422,-6.652508737263416,0.45569620253164556,0.47679324894514774,0.01265822784810125
raw_clean_s47,mlp_static,0.5443037974683544,0.06751054852320672,0.04641350210970463,0.004219409282700422,-6.048149108886719,0.45569620253164556,0.47679324894514774,0.021097046413502088
raw_clean_s47,logistic_flip,0.535864978902953,0.08438818565400844,0.012658227848101264,0.029535864978902954,-0.42474358357170794,0.46413502109704696,0.45147679324894463,0.07172995780590717
raw_clean_s47,ranking_flip,0.535864978902953,0.07594936708860758,0.02531645569620253,0.008438818565400843,-0.4281830010637302,0.46413502109704696,0.4599156118143455,0.050632911392405056
raw_clean_s47,mlp_flip,0.4641350210970463,0.07594936708860757,0.004219409282700422,0.008438818565400843,0.046444233506917953,0.5358649789029537,0.38818565400843874,0.07172995780590714
raw_flipmine_s47,logistic_static,0.6962025316455696,0.0970464135021098,0.08860759493670887,0.06329113924050633,-0.690653927359012,0.30379746835443044,0.5991561181434597,0.008438818565400921
raw_flipmine_s47,ranking_static,0.6962025316455696,0.0970464135021098,0.0928270042194093,0.06329113924050633,-0.7155699543308689,0.30379746835443044,0.5991561181434597,0.004219409282700495
raw_flipmine_s47,mlp_static,0.6751054852320674,0.10126582278481015,0.09704641350210973,0.05063291139240506,-1.074879765510559,0.32489451476793263,0.5738396624472573,0.004219409282700426
raw_flipmine_s47,logistic_flip,0.7046413502109703,0.08438818565400848,0.08016877637130802,0.06751054852320675,-0.42866048146475677,0.2953586497890297,0.6202531645569618,0.004219409282700454
