seed,contrast,delta_J,parent_mean_delta_J,parent_bootstrap_95pct,n_unique_parent,gains,losses,baseline_110,transition_110_to_111,baseline_111,degradation_111,changed_state_predictions
805,train224_pretrained__input64_phase10_minus00,-0.015625,-0.017241379310344827,"[-0.06896551724137931, 0.034482758620689655]",58,1,2,15,1,4,2,23
805,train224_pretrained__input64_phase01_minus00,-0.03125,-0.034482758620689655,"[-0.08620689655172414, 0.0]",58,0,2,15,0,4,2,25
805,train224_pretrained__input64_phase11_minus00,0.0,0.0,"[-0.06896551724137931, 0.06896551724137931]",58,2,2,15,1,4,2,34
805,train224_pretrained__input224_phase10_minus00,0.015625,0.017241379310344827,"[0.0, 0.05172413793103448]",58,1,0,10,1,43,0,1
805,train224_pretrained__input224_phase01_minus00,0.0,0.0,"[0.0, 0.0]",58,0,0,10,0,43,0,0
805,train224_pretrained__input224_phase11_minus00,0.015625,0.017241379310344827,"[0.0, 0.05172413793103448]",58,1,0,10,1,43,0,1
805,train224_random__224_minus_64,0.578125,0.5689655172413793,"[0.4482758620689655, 0.6982758620689655]",58,37,0,25,15,3,0,121
805,train224_random__input64_phase10_minus00,0.03125,0.034482758620689655,"[0.0, 0.08620689655172414]",58,2,0,25,0,3,0,28
805,train224_random__input64_phase01_minus00,0.03125,0.034482758620689655,"[0.0, 0.08620689655172414]",58,2,0,25,0,3,0,16
805,train224_random__input64_phase11_minus00,0.03125,0.034482758620689655,"[0.0, 0.08620689655172414]",58,2,0,25,1,3,0,26
805,train224_random__input224_phase10_minus00,0.015625,0.017241379310344827,"[-0.04310344827586207, 0.08620689655172414]",58,3,2,10,0,40,2,7
805,train224_random__input224_phase01_minus00,0.015625,0.017241379310344827,"[-0.017241379310344827, 0.0603448275862069]",58,2,1,10,0,40,1,5
805,train224_random__input224_phase11_minus00,0.015625,0.017241379310344827,"[0.0, 0.05172413793103448]",58,1,0,10,0,40,0,5
806,train64_pretrained__224_minus_64,-0.203125,-0.20689655172413793,"[-0.3103448275862069, -0.10344827586206896]",58,0,13,22,0,13,13,91
806,train64_pretrained__input64_phase10_minus00,0.015625,0.017241379310344827,"[0.0, 0.05172413793103448]",58,1,0,22,0,13,0,8
806,train64_pretrained__input64_phase01_minus00,0.0,-0.008620689655172414,"[-0.06896551724137931, 0.05172413793103448]",58,2,2,22,0,13,2,14
806,train64_pretrained__input64_phase11_minus00,-0.015625,-0.017241379310344827,"[-0.05172413793103448, 0.0]",58,0,1,22,0,13,1,12
806,train64_pretrained__input224_phase10_minus00,0.0,0.0,"[0.0, 0.0]",58,0,0,20,0,0,0,0
806,train64_pretrained__input224_phase01_minus00,0.0,0.0,"[0.0, 0.0]",58,0,0,20,0,0,0,0
806,train64_pretrained__input224_phase11_minus00,0.0,0.0,"[0.0, 0.0]",58,0,0,20,0,0,0,0
806,train64_random__224_minus_64,-0.078125,-0.08620689655172414,"[-0.15517241379310345, -0.017241379310344827]",58,0,5,17,0,5,5,69
806,train64_random__input64_phase10_minus00,-0.0625,-0.06896551724137931,"[-0.15517241379310345, 0.017241379310344827]",58,1,5,17,0,5,5,39
806,train64_random__input64_phase01_minus00,0.0,0.0,"[-0.06896551724137931, 0.06896551724137931]",58,2,2,17,0,5,2,36
806,train64_random__input64_phase11_minus00,-0.015625,-0.017241379310344827,"[-0.08620689655172414, 0.05172413793103448]",58,2,3,17,0,5,3,31
806,train64_random__input224_phase10_minus00,0.0,0.0,"[0.0, 0.0]",58,0,0,20,0,0,0,0
806,train64_random__input224_phase01_minus00,0.0,0.0,"[0.0, 0.0]",58,0,0,20,0,0,0,0
806,train64_random__input224_phase11_minus00,0.0,0.0,"[0.0, 0.0]",58,0,0,20,0,0,0,0
806,train224_pretrained__224_minus_64,0.65625,0.6379310344827587,"[0.5172413793103449, 0.7586206896551724]",58,42,0,16,10,2,0,130
806,train224_pretrained__input64_phase10_minus00,0.015625,0.008620689655172414,"[0.0, 0.02586206896551724]",58,1,0,16,1,2,0,15
806,train224_pretrained__input64_phase01_minus00,0.015625,0.017241379310344827,"[-0.034482758620689655, 0.06896551724137931]",58,2,1,16,1,2,1,18
806,train224_pretrained__input64_phase11_minus00,0.046875,0.05172413793103448,"[0.0, 0.1206896551724138]",58,4,1,16,2,2,1,17
806,train224_pretrained__input224_phase10_minus00,-0.015625,-0.017241379310344827,"[-0.05172413793103448, 0.0]",58,0,1,9,0,44,1,2
806,train224_pretrained__input224_phase01_minus00,-0.03125,-0.034482758620689655,"[-0.08620689655172414, 0.0]",58,0,2,9,0,44,2,2
806,train224_pretrained__input224_phase11_minus00,-0.03125,-0.034482758620689655,"[-0.08620689655172414, 0.0]",58,0,2,9,0,44,2,3
806,train224_random__224_minus_64,0.546875,0.5344827586206896,"[0.41379310344827586, 0.6637931034482759]",58,35,0,24,12,1,0,115
806,train224_random__input64_phase10_minus00,0.046875,0.05172413793103448,"[-0.017241379310344827, 0.12112068965517399]",58,4,1,24,0,1,1,33
806,train224_random__input64_phase01_minus00,0.046875,0.05172413793103448,"[-0.017241379310344827, 0.13793103448275862]",58,4,1,24,1,1,1,31
806,train224_random__input64_phase11_minus00,0.0,0.0,"[-0.05172413793103448, 0.05172413793103448]",58,1,1,24,1,1,1,28
806,train224_random__input224_phase10_minus00,0.015625,0.02586206896551724,"[-0.05172413793103448, 0.11206896551724138]",58,4,3,13,3,36,3,9
806,train224_random__input224_phase01_minus00,-0.046875,-0.017241379310344827,"[-0.08620689655172414, 0.05172413793103448]",58,2,5,13,2,36,5,9
806,train224_random__input224_phase11_minus00,-0.015625,-0.017241379310344827,"[-0.11206896551724138, 0.06896551724137931]",58,4,5,13,3,36,5,13
