bank_index,parent_sha256,quartet_coords_sha256,x_image_sha256,A_image_sha256,B_image_sha256,AB_image_sha256
54,b843ef6adbfe5690b5c818871c0582f3c8aea34ac7f3a10dca6145e155cd8c52,3fe01698dfa4f6aa5988a7e4d2cfd9c1c8b7dde47a507e56d0e740e704d10660,5cc9734f418af044e273f4197668f820db4faa3d2d19f053612c751d6bacbc0b,7add026dba134b92d13ffedd6a441000af3b1c984ae8a2bf7da788b5a4f9eefb,e21160cac1bf294892cc37805ceb43f0b40c49c5f5ae10aa6361fe3cf94f3fe5,d4ee5a86532fefe37c61831398d2862072348d2254435b8cff82d47d05b3581c
114,6d30a01baf481a4b587e1dd98ee44a3a97a96ca84c9b18357500fcf80bc83ba9,f6eba3dcd6ee7840f20316947ca9601775f0487f762c75b400bcd3b0c72043d0,80d4060d34806fc8ef66091ade0ddd2e286c4b86687a6a6a14c796f4ce24c00d,bc324ef091a3a78a639511d4192c749b2d32f3dda4165a783bb72e99d53c221a,9751f81647d0683261e77648dae986b500e672616cd3ab02cd18da4ca79261c1,a458c90af8da1311c33b747e68174a8a0986d1377ab784dcc8d181e3539944f7
520,87ace2f9de48ffdee86eb57fb35bdbdcc62aee2e76cd7a4f072275d3c8132cea,7f6ae45fd7c8b18fc9b892083318b07843941bc71028bcc68ca589c2ab4a73d2,50c395aa10fbd39fdc2db1c35d1ac1e70759e875ed836f711f2eb624f903c57e,b543ab28f2ca3d1ed8ed31553f6625cc0e0378d201df09d96b1071212b563de8,7d7d9537365dd5edd448bb98834f0a293f1dda17bd3cd2fb6a291d0374729722,58d42f8c2a2d596ffc27442a55a48dc4bdd01bf773c97fc7726e9345a086a913
478,91b5e95ac99b02e44ccad048e76c48d273cdafc87a02ace6d73102d6752b6271,7a51474ae7f62144aec051829320fea67b7e9a789524e7df83d5178e6c47366f,c42ac90a5233eb0082e6604da74d47c0f20f04be849f1106066f88a027fcb018,60414edcfe40c790fedc609d39345b22472eaa0bac0d4233e858a9f1b0551234,ebd832cc4b7f11e73b325d8c23b25d1d6ea974cd09c3180efaeb63d31cceb0a0,c1c301d999a532ad001ebc1bf392c8da92a44b8691d263b1364c25eeec9a8784
319,ae884e65b33a082c9756b86a5a020bc950275c7876e165a5cc4edd16b5b164d2,289f32d71257eda132ed4d604fa9b8dec836c44f8a6fd4a338225314bbd98a9b,a29e85d4d96352a4141bfc6ff3e71dcd02795f2cea0d9cf3e9d3b193476f8043,2ef63a12e5a69dc7e546d1b177ead13dae7979030f79714c01283e0119f833a8,2154976f1e6bae437556ce63bfc4d5078ed9bf8e1cdd594c1ea23faf633ae195,9c2b338a8240117e490c59cb876f195c6cea3318bcd75d0ff4dd439ee08e104b
106,5ad2780e7ababd4f827bfd042b8f66e95b7f420a16b5f2b72bfd8e6ce613d7c3,22a8f090dc55ac352d3aa446d7da17122fecaa20a93595e307dc7ee4d07a4328,e42cc49229452769bae30ba5134b39b4a042c7e162b72f8d404f073a160a5013,8d7125e7e671db0901196598987e49a36266006d07a8f559a4f3300a238fdad8,09ba17cde35a74cc670d30b23ef5a11a4dea5e428609445d38d58bf81c0634c9,50add1da9988f0b0d830198218a5266be5e69922e0dedbdbdbba460dd140562a
65,603da14dbf07df31ba73598a700b25f79a9d84cb33ff6886b29a478980de246e,76100c5066543a94c2427302125c55a2914107eeefb4a67539e858cb950c49aa,4536064405f322eb300230745b21a87ced447595000ce3e4aa780ab66ec8d67d,a032568433905783d603563d2f7ce78f1db732f5673b1cd7833f2a959bd2fd31,6bc95e8588af9881974cecacfaf6a2727e27801dcb9534680fc65ff4fdfde3bf,4baa2a6aee6422e0d1f5baed0fc57c03c4fb4f5fd5a13230fdad91034f3af9a9
75,18ffe392d3a2a4ba5317503565e677b8f6cda7b7e76831c3807a2d7dddfa014c,3643eeceefd23bb7f3386c3358114fa5ed283a7f2c5e7c9b68310239025285fa,e33b5ec3639346a47f0f1904a70f6e7feff73b625ec130bd0c47aff1b2666672,b73fe729c747b6af6a9d181d35c376d2031bf978d3d6863efd8303c0888becf6,03e3186f650d850979721a1cbd94efb02079b4283c3bacee82fd5c240bc73954,e39450ee9f300328aeb485ce5084d1107753494763a70aa41ea64916a761c5c1
228,6ff3deb59136f9d30b869b25c0786a055ec3d137397960007894990f12e87c68,1c810456b618d6509f08357aae72b3d16d9a06c9db9bc94aa3682bd67d68187d,405ee9a9d2038d713f6e067e8a93bd63cf26f14813450b69281ddf39b5c30651,e7653d96bad22aab6864ef4dea0ae75553bca6d30760a8f27ec1ec5d5e9b3101,098a93b276595cb764381582853930cc33d89f343cede0eaaa3317791458e7a8,98d091f0380125ca3f7cc55d4cc802a76d8e6ed2093dc08230d1f88fc4061eb0
321,6dda79ec5cdaba96b5bb877b4e487722571ee70747895a2fba22cd4e3d4f8e32,2f26c3d3e41631061992509a424f331723a52ea45189826211fabd798cd016eb,ce1ac1133c51beff0fc3637a427fc44c4d39c280bff0a832904c04d8ec69c99e,3cde96b527537d7603fdcecd06a9ff629381cb8059e5bc49469e226a0f97a1b7,ca12f50411cfdf8982cd38e1d0b239e8d48f38201afc09045c47328b139acbdd,a2eee4c234188cf896d914037c550b863819da8b9732e518358dfed179e7f6ba
338,cdfdbdb31e74c09baf5b914bf168f0b24f7e011de2900a7d19f474996050164a,078bb3d33cc7863bf705f7b7496c4771765e6d7cefcbcb80c08c424f47d24f3f,0291b8d2e52c9947c86f63b3de9adc2f3a190e7c2e978d9ebae8d182e2bb3d2d,0ad1311cdd2988421b7a74330cc7f7d8117be4b02d784190d98492ef9c0201be,0df772eb5cd198fcb9fc3f4361e8e455b464085fa5164a10fbbf800d557e3482,760958b9d8da9ccd5b61c3f421474cb993f9ffb0e4fa8e8b8d6a608eb2e5f47a
205,e58bc5ce314f121a8b20136e6e57bdae9875713bd8ee5dd65d5b164467a58874,0cedf5a84f181dd7af750fbcecff64bb773d681e14be6f11453b89f1dd61ac88,3c24624cbe70d3c5d2a395ba2f678e9dc8dd6aafc10795461006c808235aa36c,5daa07d23ab1a909e297d1024a8c83f528b10420bd4be4e6de244aaf187a3479,87ad6e31433b39130ccc88eca62c8d95e3eb4bf6ab702bcbc2b800f682179d19,6420a5ebde936e34fa456fbdf9eab44fa99f43cad8a2e1c7ec2efa9200d2e7db
47,ad7d4aa57c5cc7cdbde7eba8ad042f8f30cf4092c581e9247ae5f70e68f93caa,93eae180d33182e0ff1cb931b6e1e88b337f63a95f7ba930a96a4f4e6a632859,4acccce9a75666e00ab2c50d3f34a4c53c860fefce3f451359aa8820b2c9b7f4,b3f77b479aaca9a67649accdd0961e7c0a581753ced713ce946cc1d18e1a300e,272d221d4c16fe6d39779c818cd6325d56464bbfc198fcbf2f61764d5f109a31,4182cfae239edd7f86d1cda888c379acbe7e651a9f0831dc74df5213bfdba450
31,fd5a3da8a9cd430b0f227b16732c5c42d063a4088fcd32b463231cf0f40ac3ae,31b9d06c4a4296a70b46d4d43afbfcc9ee95080ac838e68619d669f21acd2c07,6153e448d4acb25f255423e1ce964c1c0a4272bbb63366c9800057a7f3391891,77c9063dc04260e07bf34dd3a85a1986bce77627142dfc5226fb154cef8fb0e0,6a6c63a61d036a694d6e9e107fcdf72c279c3e3b4e52a6fd8048b1aec73e53ca,e534f36e52e19ed7a06fabef110119a0deaddc90f16647c09ebe77dec61262fc
202,90f54a6ee8f288511dfe691939ec027e14a574035ddfbee3f49ee628b04bd638,6c018eec4bda9dfd7145497ee2418d9b08f3a51cd91389d11da9c92a1ce54e65,88f9a6d8a279e534b90c96373622df40142389d19c68bfa62ed6ff7b5bffeb44,ef30f0084652d7e29cf7e7f9d212d6ba7505e5b2500d6ebaa6185fa10dd8cbe0,8431c7c684e529cb0a28bc9d9ef9de346bfd5c43b02468e536153816c70a3dee,4b98722f4804a8a511e39096cf6c52295163d649a38b151e96b7dcdc4a0d98d5
