seed,parent,t_star,miss,abserr,kink_count,kink_dist,n_kinks_path,theta_on_kink
47,502,0.510468,1,nan,2,0.06125,7,nan
47,502,0.510468,1,nan,2,0.014375,4,nan
47,411,0.75611,1,nan,2,0.052484,12,nan
47,411,0.75611,1,nan,3,0.041266,14,nan
47,456,0.849549,0,0.087749,5,0.013732,20,0
47,456,0.849549,0,0.297991,4,0.005919,24,0
47,150,0.866984,1,nan,7,0.003703,37,nan
47,150,0.866984,0,0.086493,3,0.035359,26,0
47,96,0.532439,1,nan,2,0.002717,6,nan
47,96,0.532439,1,nan,2,0.012908,7,nan
47,39,0.475543,1,nan,0,nan,6,nan
47,39,0.475543,1,nan,1,0.049762,5,nan
47,209,0.793553,1,nan,5,0.008397,19,nan
47,209,0.793553,0,0.093891,5,0.007228,23,0
47,264,0.423705,0,0.038193,0,nan,8,0
47,264,0.423705,0,0.098894,3,0.025514,7,0
47,415,0.884988,1,nan,10,0.006082,33,nan
47,415,0.884988,0,0.060677,6,0.013894,26,0
47,10,0.411525,0,0.345037,0,nan,3,0
47,10,0.411525,0,0.50703,0,nan,2,0
47,222,0.860066,1,nan,8,0.003215,22,nan
47,222,0.860066,1,nan,6,0.01241,25,nan
47,283,0.353023,1,nan,0,nan,6,nan
47,283,0.353023,1,nan,0,nan,4,nan
47,37,0.540246,1,nan,1,0.083215,4,nan
47,37,0.540246,1,nan,0,nan,5,nan
47,241,0.487926,1,nan,1,0.038707,8,nan
47,241,0.487926,1,nan,4,0.015269,11,nan
47,413,0.70297,0,0.238073,2,0.058438,12,0
47,413,0.70297,0,0.162983,1,0.035001,15,0
47,451,0.900474,0,0.124193,6,0.013755,24,0
47,451,0.900474,0,0.047987,10,0.013755,28,0
47,223,0.879014,1,nan,6,0.015733,30,nan
47,223,0.879014,1,nan,5,0.015517,21,nan
47,91,0.727876,1,nan,1,0.020844,10,nan
47,91,0.727876,1,nan,4,0.018218,14,nan
47,220,0.801011,0,0.310902,3,0.046645,17,1
47,220,0.801011,0,0.169268,5,0.008042,22,0
47,450,0.916118,1,nan,9,0.013774,30,nan
47,450,0.916118,0,0.015036,11,0.001851,31,0
47,67,0.709018,0,0.226582,4,0.021451,18,0
47,67,0.709018,0,0.042223,0,nan,9,0
47,127,0.621352,1,nan,3,0.030992,10,nan
47,127,0.621352,1,nan,3,0.015367,8,nan
47,45,0.837234,1,nan,6,0.010423,24,nan
47,45,0.837234,1,nan,5,0.005202,17,nan
47,144,0.891877,0,0.114832,5,0.018279,20,0
47,144,0.891877,0,0.100506,3,0.044221,17,0
47,36,0.820025,1,nan,6,0.043256,28,nan
47,36,0.820025,0,0.045858,6,0.004193,31,0
47,314,0.92731,1,nan,10,0.001529,42,nan
47,314,0.92731,0,0.139929,9,0.006284,39,0
47,426,0.677577,0,0.07287,4,0.037267,13,0
47,426,0.677577,0,0.070601,2,0.021642,10,0
47,231,0.861926,0,0.082415,4,0.006457,23,0
47,231,0.861926,0,0.268738,5,0.024793,30,0
47,99,0.503465,1,nan,1,0.015183,8,nan
47,99,0.503465,1,nan,2,0.015183,6,nan
47,482,0.781255,0,0.373081,3,0.042974,19,0
47,482,0.781255,0,0.298538,5,0.035151,21,0
47,474,0.74602,1,nan,4,0.023511,17,nan
47,474,0.74602,1,nan,3,0.023511,11,nan
47,373,0.889636,0,0.050903,8,0.02052,24,1
47,373,0.889636,1,nan,5,0.01073,27,nan
47,377,0.869941,1,nan,9,0.001153,33,nan
47,377,0.869941,1,nan,5,0.008965,26,nan
47,337,0.76467,1,nan,3,0.018577,21,nan
47,337,0.76467,1,nan,5,0.010764,12,nan
47,151,0.846665,1,nan,8,0.000991,20,nan
47,151,0.846665,1,nan,4,0.032241,22,nan
47,475,0.482287,1,nan,0,nan,6,nan
47,475,0.482287,1,nan,0,nan,6,nan
47,250,0.83917,0,0.306501,4,0.014951,27,0
47,250,0.83917,0,0.39267,1,0.061826,21,1
47,187,0.827632,0,0.276796,4,0.034663,17,0
47,187,0.827632,0,0.366442,5,0.003413,21,0
