seed,parent,t_star,miss,abserr,kink_count,kink_dist,n_kinks_path,theta_on_kink
11,77,0.824351,0,0.108677,4,0.015492,18,0
11,77,0.824351,0,0.061764,5,0.05482,24,1
11,107,0.393392,1,nan,3,0.016765,7,nan
11,107,0.393392,1,nan,4,0.03239,7,nan
11,440,0.811349,0,0.106691,5,0.01287,17,0
11,440,0.811349,0,0.080338,1,0.01838,17,0
11,502,0.510468,1,nan,1,0.087188,6,nan
11,502,0.510468,1,nan,0,nan,7,nan
11,411,0.75611,1,nan,5,0.002204,18,nan
11,411,0.75611,1,nan,4,0.002204,16,nan
11,456,0.849549,0,0.106014,6,0.001893,28,1
11,456,0.849549,0,0.253679,7,0.005919,29,1
11,150,0.866984,1,nan,4,0.011516,31,nan
11,150,0.866984,0,0.206474,6,0.003703,33,0
11,96,0.532439,1,nan,2,0.067595,10,nan
11,96,0.532439,1,nan,2,0.059783,13,nan
11,39,0.475543,1,nan,2,0.002887,7,nan
11,39,0.475543,1,nan,2,0.010699,6,nan
11,209,0.793553,0,0.007921,7,0.038478,27,0
11,209,0.793553,0,0.048145,7,0.024022,24,0
11,264,0.423705,0,0.15786,4,0.041139,8,0
11,264,0.423705,0,0.185617,1,0.005736,7,0
11,415,0.884988,0,0.026962,14,0.006082,34,1
11,415,0.884988,1,nan,15,0.006082,33,nan
11,10,0.411525,0,0.084597,0,nan,8,0
11,10,0.411525,0,0.104744,1,0.068944,7,0
11,222,0.860066,1,nan,5,0.004598,17,nan
11,222,0.860066,1,nan,9,0.003215,20,nan
11,283,0.353023,1,nan,1,0.025884,10,nan
11,283,0.353023,1,nan,2,0.002446,7,nan
11,37,0.540246,1,nan,3,0.041785,9,nan
11,37,0.540246,1,nan,3,0.018348,9,nan
11,241,0.487926,1,nan,2,0.030894,4,nan
11,241,0.487926,1,nan,3,0.007457,7,nan
11,413,0.70297,0,0.090519,2,0.089688,15,1
11,413,0.70297,1,nan,2,0.035312,15,nan
11,451,0.900474,0,0.090282,12,0.00187,33,1
11,451,0.900474,0,0.115753,10,0.009683,32,0
11,223,0.879014,1,nan,7,0.007705,25,nan
11,223,0.879014,1,nan,4,0.015733,17,nan
11,91,0.727876,1,nan,1,0.052094,23,nan
11,91,0.727876,1,nan,4,0.010406,19,nan
11,220,0.801011,0,0.077066,8,0.007583,23,0
11,220,0.801011,0,0.138311,5,0.03102,22,0
11,450,0.916118,1,nan,7,0.005961,31,nan
11,450,0.916118,0,0.056358,5,0.005961,34,0
11,67,0.709018,0,0.123226,1,0.087924,8,0
11,67,0.709018,0,0.195072,2,0.033237,12,1
11,127,0.621352,0,0.157064,4,0.008071,14,0
11,127,0.621352,0,0.182394,5,0.000258,15,0
11,45,0.837234,1,nan,5,0.026048,15,nan
11,45,0.837234,1,nan,2,0.044265,11,nan
11,144,0.891877,0,0.081556,4,0.010467,22,0
11,144,0.891877,1,nan,2,0.083283,16,nan
11,36,0.820025,1,nan,7,0.050494,19,nan
11,36,0.820025,0,0.184319,6,0.058881,23,0
11,314,0.92731,1,nan,12,0.001529,38,nan
11,314,0.92731,1,nan,16,0.001529,41,nan
11,426,0.677577,0,0.299454,3,0.021642,13,0
11,426,0.677577,0,0.0683,5,0.001796,15,0
11,231,0.861926,0,0.09203,8,0.006457,28,0
11,231,0.861926,0,0.168941,7,0.01427,28,1
11,99,0.503465,1,nan,1,0.078567,10,nan
11,99,0.503465,1,nan,3,0.054246,11,nan
11,482,0.781255,0,0.122843,3,0.019526,24,0
11,482,0.781255,0,0.293987,6,0.011714,26,0
11,474,0.74602,1,nan,1,0.062573,11,nan
11,474,0.74602,1,nan,1,0.031323,13,nan
11,373,0.889636,1,nan,5,0.004895,23,nan
11,373,0.889636,0,0.086365,7,0.02052,26,0
11,377,0.869941,1,nan,8,0.022285,29,nan
11,377,0.869941,1,nan,6,0.008965,26,nan
11,337,0.76467,0,0.063461,3,0.028298,16,1
11,337,0.76467,0,0.054693,3,0.026389,22,0
11,151,0.846665,1,nan,6,0.008803,16,nan
11,151,0.846665,0,0.106302,6,0.024428,21,0
11,475,0.482287,1,nan,2,0.052869,8,nan
11,475,0.482287,0,0.509224,0,nan,8,0
11,250,0.83917,0,0.269852,2,0.000674,22,1
11,250,0.83917,0,0.307877,4,0.000674,25,0
11,187,0.827632,0,0.214756,7,0.004399,22,0
11,187,0.827632,0,0.284212,7,0.003413,21,0
23,454,0.832353,0,0.120249,3,0.000321,17,0
23,454,0.832353,0,0.016298,5,0.008134,17,0
23,365,0.80104,1,nan,4,0.015883,21,nan
23,365,0.80104,0,0.149004,5,0.015367,19,0
23,491,0.42092,1,nan,1,0.020486,6,nan
23,491,0.42092,1,nan,3,0.036111,7,nan
23,249,0.81953,0,0.09795,6,0.020314,25,0
23,249,0.81953,0,0.010887,7,0.004689,24,0
23,330,0.365548,1,nan,1,0.068046,4,nan
23,330,0.365548,1,nan,0,nan,4,nan
23,424,0.84298,0,0.29653,2,0.034387,20,1
23,424,0.84298,0,0.098743,9,0.003137,27,0
23,141,0.853353,0,0.032497,5,0.029134,31,0
23,141,0.853353,0,0.016115,10,0.002116,31,1
23,347,0.652528,0,0.042465,2,0.046691,15,0
23,347,0.652528,0,0.281784,4,0.015809,16,0
23,460,0.873178,0,0.038748,7,0.005729,27,0
23,460,0.873178,0,0.022339,4,0.013541,23,0
23,133,0.831985,1,nan,7,0.015672,22,nan
23,133,0.831985,0,0.065125,4,0.007766,19,0
23,192,0.276128,1,nan,1,0.069097,4,nan
23,192,0.276128,1,nan,2,0.032466,5,nan
23,125,0.511168,1,nan,2,0.015075,3,nan
23,125,0.511168,1,nan,2,0.047425,6,nan
23,159,0.821525,1,nan,3,0.005118,19,nan
23,159,0.821525,0,0.115063,3,0.018319,19,0
23,167,0.515838,0,0.376169,1,0.097444,4,0
23,167,0.515838,0,0.446156,1,0.019319,5,0
23,95,0.710595,0,0.1311,3,0.027686,11,0
23,95,0.710595,0,0.140774,1,0.081689,14,0
23,273,0.721553,1,nan,0,nan,5,nan
23,273,0.721553,1,nan,1,0.069209,6,nan
23,240,0.265765,1,nan,1,0.004046,3,nan
23,240,0.265765,1,nan,1,0.035016,4,nan
23,388,0.849727,0,0.089743,4,0.041133,20,0
23,388,0.849727,0,0.216196,6,0.005742,22,1
23,468,0.863397,0,0.182623,2,0.054572,24,1
23,468,0.863397,0,0.028353,7,0.01551,23,0
23,275,0.285687,0,0.663145,1,0.008344,3,0
23,275,0.285687,1,nan,0,nan,5,nan
23,282,0.87387,1,nan,5,0.010589,22,nan
23,282,0.87387,1,nan,4,0.028474,22,nan
23,464,0.823562,0,0.504715,2,0.069655,24,0
23,464,0.823562,0,0.512186,1,0.038405,18,0
23,103,0.822579,0,0.132412,6,0.006173,19,0
23,103,0.822579,0,0.052723,5,0.009452,22,0
23,315,0.634187,1,nan,1,0.002532,9,nan
23,315,0.634187,1,nan,2,0.052155,6,nan
23,158,0.909535,0,0.081745,9,0.015004,34,0
23,158,0.909535,0,0.21257,10,0.000621,39,0
23,403,0.817426,1,nan,3,0.008832,17,nan
23,403,0.817426,1,nan,4,0.047894,17,nan
23,134,0.505101,0,0.145716,1,0.07932,8,0
23,134,0.505101,0,0.186922,0,nan,7,0
23,195,0.837647,0,0.03072,9,0.010009,35,0
23,195,0.837647,0,0.007141,11,0.002196,30,0
23,327,0.800658,0,0.189741,3,0.007689,16,0
23,327,0.800658,1,nan,2,0.000123,16,nan
23,178,0.892432,0,0.023056,9,0.017724,32,1
23,178,0.892432,1,nan,10,0.002099,29,nan
23,73,0.419103,0,0.206987,1,0.069179,12,1
23,73,0.419103,0,0.188192,3,0.008946,13,0
23,309,0.362252,0,0.168238,0,nan,4,0
23,309,0.362252,0,0.201893,0,nan,7,0
23,336,0.503539,1,nan,2,0.031617,7,nan
23,336,0.503539,1,nan,0,nan,8,nan
23,204,0.791688,0,0.11162,5,0.022157,21,0
23,204,0.791688,0,0.129852,3,0.016906,16,0
23,439,0.835086,1,nan,6,0.01257,29,nan
23,439,0.835086,0,0.073675,9,0.003055,32,0
23,422,0.367248,0,0.290989,1,0.066466,4,0
23,422,0.367248,0,0.626316,2,0.042909,5,0
23,44,0.574958,1,nan,1,0.063239,9,nan
23,44,0.574958,1,nan,2,0.031989,7,nan
23,441,0.884437,0,0.223366,9,0.002282,29,0
23,441,0.884437,0,0.434946,4,0.02572,25,1
23,57,0.790574,0,0.273397,5,0.010207,17,0
23,57,0.790574,0,0.31436,4,0.005418,13,0
23,379,0.770995,1,nan,3,0.014161,22,nan
23,379,0.770995,0,0.054413,4,0.032714,16,0
23,40,0.759728,1,nan,1,0.005822,14,nan
23,40,0.759728,1,nan,5,0.005822,18,nan
23,72,0.857516,0,0.019886,11,0.002048,28,0
23,72,0.857516,0,0.027552,6,0.02139,22,1
23,281,0.891871,0,0.230259,5,0.012965,19,0
23,281,0.891871,0,0.269928,8,0.005153,14,0
23,284,0.829259,0,0.169748,5,0.020665,16,0
23,284,0.829259,0,0.198326,4,0.034022,21,1
23,459,0.820413,0,0.104471,7,0.003806,25,0
23,459,0.820413,0,0.177628,6,0.004006,26,0
23,262,0.667632,1,nan,1,0.054351,8,nan
23,262,0.667632,1,nan,2,0.015288,9,nan
23,418,0.571324,0,0.00326,4,0.002894,9,0
23,418,0.571324,0,0.119839,1,0.020543,12,0
23,383,0.794923,0,0.15864,4,0.001954,17,1
23,383,0.794923,0,0.141529,2,0.009767,14,0
23,24,0.291892,1,nan,2,0.014548,4,nan
23,24,0.291892,1,nan,0,nan,3,nan
23,26,0.773213,1,nan,5,0.011495,14,nan
23,26,0.773213,1,nan,6,0.003682,13,nan
23,22,0.760018,1,nan,0,nan,10,nan
23,22,0.760018,1,nan,2,0.0017,9,nan
23,435,0.738137,0,0.006302,3,0.000144,15,0
23,435,0.738137,0,0.021551,3,0.047019,14,0
23,186,0.845468,0,0.008402,8,0.010001,25,0
23,186,0.845468,0,0.054012,4,0.044686,19,0
23,323,0.788871,0,0.090494,4,0.027535,18,0
23,323,0.788871,0,0.093803,5,0.011527,22,1
23,92,0.847531,0,0.085688,3,0.007688,17,0
23,92,0.847531,0,0.0875,3,0.023313,14,0
23,15,0.503232,1,nan,1,0.086612,8,nan
23,15,0.503232,0,0.277536,2,0.008487,9,0
23,70,0.774659,1,nan,4,0.026122,13,nan
23,70,0.774659,0,0.219183,2,0.010497,9,0
23,359,0.676898,1,nan,0,nan,9,nan
23,359,0.676898,1,nan,1,0.063617,6,nan
23,366,0.713847,0,0.135864,2,0.084941,10,0
23,366,0.713847,0,0.055435,3,0.038066,12,0
23,77,0.824351,0,0.190924,5,0.000133,21,0
23,77,0.824351,0,0.021677,7,0.007945,26,0
23,107,0.393392,1,nan,1,0.076985,4,nan
23,107,0.393392,1,nan,2,0.055827,4,nan
23,440,0.811349,0,0.101881,4,0.005057,15,0
23,440,0.811349,0,0.33036,1,0.028495,13,0
23,502,0.510468,0,0.223175,3,0.009063,9,0
23,502,0.510468,0,0.231081,0,nan,8,0
23,411,0.75611,1,nan,5,0.005609,22,nan
23,411,0.75611,1,nan,1,0.049079,16,nan
