model,direction,epsilon,law,table,risk,n_valid_arms,denominator_weighted
minimax,coord,0.2,Q_source_dro,flipped,0.44594352316882363,1231,35.1806776145842
minimax,coord,0.2,Q_whitebox,all_valid_arms,0.513671875,1024,512.0
equal,coord,0.2,Q_ref,preserving,0.1332473527016019,14732,420.9142857142858
equal,coord,0.2,Q_ref,flipped,0.4248578391551584,1231,35.17142857142857
equal,coord,0.2,Q_coherent,preserving,0.1484375,14732,426.6666666666666
equal,coord,0.2,Q_coherent,flipped,0.3357664233576642,1231,45.666666666666664
equal,coord,0.2,Q_source_greedy,preserving,0.11424903722721438,14732,389.5
equal,coord,0.2,Q_source_greedy,flipped,0.37719298245614036,1231,57.0
equal,coord,0.2,Q_source_dro,preserving,0.1332793766472893,14732,420.9382944408395
equal,coord,0.2,Q_source_dro,flipped,0.42481629390824593,1231,35.18322178904252
equal,coord,0.2,Q_whitebox,all_valid_arms,0.505859375,1024,512.0
adv,coord,0.2,Q_ref,preserving,0.12686668476785226,14732,420.9142857142858
adv,coord,0.2,Q_ref,flipped,0.4402924451665312,1231,35.17142857142857
adv,coord,0.2,Q_coherent,preserving,0.13515625000000003,14732,426.6666666666666
adv,coord,0.2,Q_coherent,flipped,0.3722627737226278,1231,45.666666666666664
adv,coord,0.2,Q_source_greedy,preserving,0.12967581047381546,14732,401.0
adv,coord,0.2,Q_source_greedy,flipped,0.41935483870967744,1231,46.5
adv,coord,0.2,Q_source_dro,preserving,0.12693089920830736,14732,420.9435341544685
adv,coord,0.2,Q_source_dro,flipped,0.44009351552134,1231,35.15366640256661
adv,coord,0.2,Q_whitebox,all_valid_arms,0.50390625,1024,512.0
clean,coord,0.2,Q_ref,preserving,0.14302199294053758,14732,420.9142857142858
clean,coord,0.2,Q_ref,flipped,0.5109666937449229,1231,35.17142857142857
clean,coord,0.2,Q_coherent,preserving,0.15546875000000002,14732,426.6666666666666
clean,coord,0.2,Q_coherent,flipped,0.4671532846715328,1231,45.666666666666664
clean,coord,0.2,Q_source_greedy,preserving,0.14017521902377972,14732,399.5
clean,coord,0.2,Q_source_greedy,flipped,0.5454545454545454,1231,49.5
clean,coord,0.2,Q_source_dro,preserving,0.1430285777795132,14732,420.9346181011482
clean,coord,0.2,Q_source_dro,flipped,0.5109398780967033,1231,35.19151993993212
clean,coord,0.2,Q_whitebox,all_valid_arms,0.525390625,1024,512.0
