seed,parent,t_star,t_theta,miss,abserr,angle_cos,width_k1,width_k2,woa
11,284,0.829259,0.750556,0,0.078703,0.506453,0.046875,0.085938,0.092555
11,284,0.829259,0.702849,0,0.12641,0.496165,0.085938,0.164062,0.173204
11,459,0.820413,0.608806,0,0.211607,0.637021,0.03125,0.054688,0.049056
11,459,0.820413,0.814664,0,0.005749,0.532459,0.039062,0.070312,0.073362
11,262,0.667632,0.884133,0,0.216501,0.435207,0.109375,0.210938,0.251317
11,262,0.667632,nan,1,nan,nan,nan,nan,nan
11,418,0.571324,0.143586,0,0.427738,0.744631,0.085938,0.15625,0.11541
11,418,0.571324,0.187703,0,0.383621,0.576406,0.101562,0.195312,0.176199
11,383,0.794923,0.70991,0,0.085012,0.530345,0.03125,0.0625,0.058924
11,383,0.794923,0.563497,0,0.231426,0.739278,0.023438,0.039062,0.031704
11,24,0.291892,0.25467,0,0.037222,0.62613,0.3125,0.648438,0.499098
11,24,0.291892,0.464921,0,0.173029,0.275758,nan,nan,nan
11,26,0.773213,0.275813,0,0.4974,0.530844,0.046875,0.085938,0.088303
11,26,0.773213,0.228389,0,0.544825,0.675185,0.039062,0.070312,0.057854
11,22,0.760018,0.677777,0,0.082241,0.59839,0.046875,0.085938,0.078335
11,22,0.760018,0.588489,0,0.17153,0.655363,0.039062,0.078125,0.059604
11,435,0.738137,nan,1,nan,nan,nan,nan,nan
11,435,0.738137,nan,1,nan,nan,nan,nan,nan
11,186,0.845468,nan,1,nan,nan,nan,nan,nan
11,186,0.845468,0.914187,0,0.06872,0.547041,0.0625,0.125,0.114251
11,323,0.788871,0.793902,0,0.005032,0.61486,0.03125,0.054688,0.050825
11,323,0.788871,0.612267,0,0.176603,0.740368,0.023438,0.039062,0.031657
11,92,0.847531,0.561219,0,0.286312,0.612163,0.039062,0.078125,0.06381
11,92,0.847531,0.581765,0,0.265766,0.583826,0.039062,0.070312,0.066907
11,15,0.503232,0.452357,0,0.050875,0.554352,0.09375,0.1875,0.169116
11,15,0.503232,0.530993,0,0.027761,0.52372,0.085938,0.171875,0.164091
11,70,0.774659,0.918607,0,0.143948,0.494084,0.039062,0.070312,0.079059
11,70,0.774659,0.900905,0,0.126245,0.525404,0.039062,0.070312,0.074347
11,359,0.676898,nan,1,nan,nan,nan,nan,nan
11,359,0.676898,nan,1,nan,nan,nan,nan,nan
11,366,0.713847,0.832597,0,0.11875,0.639539,0.054688,0.101562,0.085512
11,366,0.713847,0.830445,0,0.116598,0.642352,0.054688,0.09375,0.085137
11,77,0.824351,0.715674,0,0.108677,0.657903,0.070312,0.117188,0.106873
11,77,0.824351,0.762588,0,0.061764,0.512353,0.0625,0.117188,0.121986
11,107,0.393392,nan,1,nan,nan,nan,nan,nan
11,107,0.393392,nan,1,nan,nan,nan,nan,nan
11,440,0.811349,0.91804,0,0.106691,0.607366,0.046875,0.085938,0.077178
11,440,0.811349,0.731011,0,0.080338,0.730962,0.039062,0.070312,0.053439
11,502,0.510468,nan,1,nan,nan,nan,nan,nan
11,502,0.510468,nan,1,nan,nan,nan,nan,nan
11,411,0.75611,nan,1,nan,nan,nan,nan,nan
11,411,0.75611,nan,1,nan,nan,nan,nan,nan
11,456,0.849549,0.743535,0,0.106014,0.572398,0.03125,0.0625,0.054595
11,456,0.849549,0.59587,0,0.253679,0.714097,0.023438,0.039062,0.032822
11,150,0.866984,nan,1,nan,nan,nan,nan,nan
11,150,0.866984,0.66051,0,0.206474,0.669019,0.0625,0.117188,0.09342
11,96,0.532439,nan,1,nan,nan,nan,nan,nan
11,96,0.532439,nan,1,nan,nan,nan,nan,nan
11,39,0.475543,nan,1,nan,nan,nan,nan,nan
11,39,0.475543,nan,1,nan,nan,nan,nan,nan
11,209,0.793553,0.801475,0,0.007921,0.70763,0.023438,0.039062,0.033122
11,209,0.793553,0.841699,0,0.048145,0.583747,0.03125,0.054688,0.053533
