model,direction,epsilon,law,table,risk,n_valid_arms,denominator_weighted
mlpB_h32f16,vx,0.1,Q_ref,preserving,0.14061331338818248,1337,445.6666666666667
mlpB_h32f16,vx,0.1,Q_ref,flipped,0.47368421052631576,38,12.666666666666666
mlpB_h32f16,vx,0.1,Q_coherent,preserving,0.14285714285714285,1337,427.0
mlpB_h32f16,vx,0.1,Q_coherent,flipped,0.5185185185185185,38,27.0
mlpB_h32f16,vx,0.1,Q_source_greedy,preserving,0.14543404735062007,1337,443.5
mlpB_h32f16,vx,0.1,Q_source_greedy,flipped,0.48484848484848486,38,16.5
mlpB_h32f16,vx,0.1,Q_source_dro,preserving,0.14065348558960603,1337,445.6253788159641
mlpB_h32f16,vx,0.1,Q_source_dro,flipped,0.4739215485782573,38,12.715264810136317
mlpB_h32f16,vx,0.1,Q_whitebox,all_valid_arms,0.23228346456692914,1016,508.0
mlpC_h128f32,vx,0.1,Q_ref,preserving,0.15632011967090498,1337,445.6666666666667
mlpC_h128f32,vx,0.1,Q_ref,flipped,0.5526315789473684,38,12.666666666666666
mlpC_h128f32,vx,0.1,Q_coherent,preserving,0.16393442622950818,1337,427.0
mlpC_h128f32,vx,0.1,Q_coherent,flipped,0.5925925925925926,38,27.0
mlpC_h128f32,vx,0.1,Q_source_greedy,preserving,0.15783540022547915,1337,443.5
mlpC_h128f32,vx,0.1,Q_source_greedy,flipped,0.5454545454545454,38,16.5
mlpC_h128f32,vx,0.1,Q_source_dro,preserving,0.15634785266763826,1337,445.60010498946554
mlpC_h128f32,vx,0.1,Q_source_dro,flipped,0.5528842847329016,38,12.723404520316873
mlpC_h128f32,vx,0.1,Q_whitebox,all_valid_arms,0.2440944881889764,1016,508.0
mlpA_h64f32,vy,0.02,Q_ref,preserving,0.15878378378378374,1480,493.33333333333337
mlpA_h64f32,vy,0.02,Q_ref,flipped,nan,0,0.0
mlpA_h64f32,vy,0.02,Q_coherent,preserving,0.15306122448979592,1480,490.0
mlpA_h64f32,vy,0.02,Q_coherent,flipped,nan,0,0.0
mlpA_h64f32,vy,0.02,Q_source_greedy,preserving,0.15306122448979592,1480,490.0
mlpA_h64f32,vy,0.02,Q_source_greedy,flipped,nan,0,0.0
mlpA_h64f32,vy,0.02,Q_source_dro,preserving,0.1587991565631814,1480,493.3415731980399
mlpA_h64f32,vy,0.02,Q_source_dro,flipped,nan,0,0.0
mlpA_h64f32,vy,0.02,Q_whitebox,all_valid_arms,0.16173570019723865,1014,507.0
mlpB_h32f16,vy,0.02,Q_ref,preserving,0.14797297297297296,1480,493.33333333333337
mlpB_h32f16,vy,0.02,Q_ref,flipped,nan,0,0.0
mlpB_h32f16,vy,0.02,Q_coherent,preserving,0.14489795918367346,1480,490.0
mlpB_h32f16,vy,0.02,Q_coherent,flipped,nan,0,0.0
mlpB_h32f16,vy,0.02,Q_source_greedy,preserving,0.14807302231237324,1480,493.0
mlpB_h32f16,vy,0.02,Q_source_greedy,flipped,nan,0,0.0
mlpB_h32f16,vy,0.02,Q_source_dro,preserving,0.14797496075186498,1480,493.3355027653373
mlpB_h32f16,vy,0.02,Q_source_dro,flipped,nan,0,0.0
mlpB_h32f16,vy,0.02,Q_whitebox,all_valid_arms,0.15581854043392504,1014,507.0
mlpC_h128f32,vy,0.02,Q_ref,preserving,0.1662162162162162,1480,493.33333333333337
mlpC_h128f32,vy,0.02,Q_ref,flipped,nan,0,0.0
mlpC_h128f32,vy,0.02,Q_coherent,preserving,0.16326530612244897,1480,490.0
mlpC_h128f32,vy,0.02,Q_coherent,flipped,nan,0,0.0
mlpC_h128f32,vy,0.02,Q_source_greedy,preserving,0.16326530612244897,1480,490.0
mlpC_h128f32,vy,0.02,Q_source_greedy,flipped,nan,0,0.0
mlpC_h128f32,vy,0.02,Q_source_dro,preserving,0.16620902619325773,1480,493.3272541277675
mlpC_h128f32,vy,0.02,Q_source_dro,flipped,nan,0,0.0
mlpC_h128f32,vy,0.02,Q_whitebox,all_valid_arms,0.17751479289940827,1014,507.0
mlpA_h64f32,vy,0.05,Q_ref,preserving,0.15049226441631505,1422,474.0
mlpA_h64f32,vy,0.05,Q_ref,flipped,0.7142857142857143,7,2.333333333333333
mlpA_h64f32,vy,0.05,Q_coherent,preserving,0.1517094017094017,1422,468.0
mlpA_h64f32,vy,0.05,Q_coherent,flipped,0.8,7,5.0
mlpA_h64f32,vy,0.05,Q_source_greedy,preserving,0.15148305084745764,1422,472.0
mlpA_h64f32,vy,0.05,Q_source_greedy,flipped,0.8333333333333334,7,3.0
mlpA_h64f32,vy,0.05,Q_source_dro,preserving,0.15048704073588617,1422,474.0337467568477
mlpA_h64f32,vy,0.05,Q_source_dro,flipped,0.71348787801061,7,2.3177526905549346
mlpA_h64f32,vy,0.05,Q_whitebox,all_valid_arms,0.17913385826771652,1016,508.0
mlpB_h32f16,vy,0.05,Q_ref,preserving,0.13924050632911392,1422,474.0
mlpB_h32f16,vy,0.05,Q_ref,flipped,0.5714285714285715,7,2.333333333333333
mlpB_h32f16,vy,0.05,Q_coherent,preserving,0.1388888888888889,1422,468.0
mlpB_h32f16,vy,0.05,Q_coherent,flipped,0.6,7,5.0
mlpB_h32f16,vy,0.05,Q_source_greedy,preserving,0.13771186440677965,1422,472.0
mlpB_h32f16,vy,0.05,Q_source_greedy,flipped,0.6666666666666666,7,3.0
mlpB_h32f16,vy,0.05,Q_source_dro,preserving,0.13924028023381071,1422,473.99609247926276
mlpB_h32f16,vy,0.05,Q_source_dro,flipped,0.571468414434418,7,2.335070009216551
mlpB_h32f16,vy,0.05,Q_whitebox,all_valid_arms,0.17125984251968504,1016,508.0
mlpC_h128f32,vy,0.05,Q_ref,preserving,0.16033755274261605,1422,474.0
mlpC_h128f32,vy,0.05,Q_ref,flipped,0.5714285714285715,7,2.333333333333333
mlpC_h128f32,vy,0.05,Q_coherent,preserving,0.16025641025641027,1422,468.0
mlpC_h128f32,vy,0.05,Q_coherent,flipped,0.6,7,5.0
mlpC_h128f32,vy,0.05,Q_source_greedy,preserving,0.15995762711864406,1422,472.0
mlpC_h128f32,vy,0.05,Q_source_greedy,flipped,0.6666666666666666,7,3.0
mlpC_h128f32,vy,0.05,Q_source_dro,preserving,0.16033948224485875,1422,473.97389517047395
mlpC_h128f32,vy,0.05,Q_source_dro,flipped,0.5710360671248802,7,2.346375151967694
mlpC_h128f32,vy,0.05,Q_whitebox,all_valid_arms,0.2047244094488189,1016,508.0
mlpA_h64f32,vy,0.1,Q_ref,preserving,0.15260454878943505,1363,454.33333333333337
mlpA_h64f32,vy,0.1,Q_ref,flipped,0.5405405405405406,37,12.333333333333332
mlpA_h64f32,vy,0.1,Q_coherent,preserving,0.14772727272727273,1363,440.0
mlpA_h64f32,vy,0.1,Q_coherent,flipped,0.52,37,25.0
mlpA_h64f32,vy,0.1,Q_source_greedy,preserving,0.15376106194690264,1363,452.0
mlpA_h64f32,vy,0.1,Q_source_greedy,flipped,0.5625,37,16.0
mlpA_h64f32,vy,0.1,Q_source_dro,preserving,0.1526290172822132,1363,454.3771746821727
mlpA_h64f32,vy,0.1,Q_source_dro,flipped,0.5408528160321354,37,12.30296908853518
mlpA_h64f32,vy,0.1,Q_whitebox,all_valid_arms,0.2196078431372549,1020,510.0
mlpB_h32f16,vy,0.1,Q_ref,preserving,0.1474688187820983,1363,454.33333333333337
mlpB_h32f16,vy,0.1,Q_ref,flipped,0.4054054054054054,37,12.333333333333332
mlpB_h32f16,vy,0.1,Q_coherent,preserving,0.13863636363636364,1363,440.0
mlpB_h32f16,vy,0.1,Q_coherent,flipped,0.44,37,25.0
mlpB_h32f16,vy,0.1,Q_source_greedy,preserving,0.1415929203539823,1363,452.0
mlpB_h32f16,vy,0.1,Q_source_greedy,flipped,0.4375,37,16.0
mlpB_h32f16,vy,0.1,Q_source_dro,preserving,0.14743082157598592,1363,454.31816716615776
mlpB_h32f16,vy,0.1,Q_source_dro,flipped,0.40567551005101626,37,12.357165881752225
mlpB_h32f16,vy,0.1,Q_whitebox,all_valid_arms,0.21764705882352942,1020,510.0
mlpC_h128f32,vy,0.1,Q_ref,preserving,0.1577402787967718,1363,454.33333333333337
mlpC_h128f32,vy,0.1,Q_ref,flipped,0.5135135135135135,37,12.333333333333332
mlpC_h128f32,vy,0.1,Q_coherent,preserving,0.14772727272727273,1363,440.0
mlpC_h128f32,vy,0.1,Q_coherent,flipped,0.56,37,25.0
mlpC_h128f32,vy,0.1,Q_source_greedy,preserving,0.1592920353982301,1363,452.0
mlpC_h128f32,vy,0.1,Q_source_greedy,flipped,0.5625,37,16.0
mlpC_h128f32,vy,0.1,Q_source_dro,preserving,0.15768524450717122,1363,454.24603052092186
mlpC_h128f32,vy,0.1,Q_source_dro,flipped,0.5141457774609707,37,12.41256108276827
mlpC_h128f32,vy,0.1,Q_whitebox,all_valid_arms,0.23921568627450981,1020,510.0
mlpA_h64f32,vdiag,0.02,Q_ref,preserving,0.16048550236008088,1483,494.33333333333337
mlpA_h64f32,vdiag,0.02,Q_ref,flipped,nan,0,0.0
mlpA_h64f32,vdiag,0.02,Q_coherent,preserving,0.15682281059063136,1483,491.0
mlpA_h64f32,vdiag,0.02,Q_coherent,flipped,nan,0,0.0
mlpA_h64f32,vdiag,0.02,Q_source_greedy,preserving,0.15682281059063136,1483,491.0
mlpA_h64f32,vdiag,0.02,Q_source_greedy,flipped,nan,0,0.0
mlpA_h64f32,vdiag,0.02,Q_source_dro,preserving,0.16049659368211636,1483,494.34373808583143
mlpA_h64f32,vdiag,0.02,Q_source_dro,flipped,nan,0,0.0
mlpA_h64f32,vdiag,0.02,Q_whitebox,all_valid_arms,0.16370808678500987,1014,507.0
mlpB_h32f16,vdiag,0.02,Q_ref,preserving,0.14834794335805798,1483,494.33333333333337
mlpB_h32f16,vdiag,0.02,Q_ref,flipped,nan,0,0.0
mlpB_h32f16,vdiag,0.02,Q_coherent,preserving,0.1446028513238289,1483,491.0
mlpB_h32f16,vdiag,0.02,Q_coherent,flipped,nan,0,0.0
mlpB_h32f16,vdiag,0.02,Q_source_greedy,preserving,0.14705882352941177,1483,493.0
mlpB_h32f16,vdiag,0.02,Q_source_greedy,flipped,nan,0,0.0
mlpB_h32f16,vdiag,0.02,Q_source_dro,preserving,0.14835800677006902,1483,494.34377026519167
mlpB_h32f16,vdiag,0.02,Q_source_dro,flipped,nan,0,0.0
mlpB_h32f16,vdiag,0.02,Q_whitebox,all_valid_arms,0.15779092702169625,1014,507.0
mlpC_h128f32,vdiag,0.02,Q_ref,preserving,0.16925151719487522,1483,494.33333333333337
mlpC_h128f32,vdiag,0.02,Q_ref,flipped,nan,0,0.0
mlpC_h128f32,vdiag,0.02,Q_coherent,preserving,0.1710794297352342,1483,491.0
mlpC_h128f32,vdiag,0.02,Q_coherent,flipped,nan,0,0.0
mlpC_h128f32,vdiag,0.02,Q_source_greedy,preserving,0.17105263157894737,1483,494.0
mlpC_h128f32,vdiag,0.02,Q_source_greedy,flipped,nan,0,0.0
mlpC_h128f32,vdiag,0.02,Q_source_dro,preserving,0.16925618318335808,1483,494.336376750805
mlpC_h128f32,vdiag,0.02,Q_source_dro,flipped,nan,0,0.0
mlpC_h128f32,vdiag,0.02,Q_whitebox,all_valid_arms,0.1834319526627219,1014,507.0
mlpA_h64f32,vdiag,0.05,Q_ref,preserving,0.1467696629213483,1424,474.6666666666667
mlpA_h64f32,vdiag,0.05,Q_ref,flipped,0.8,5,1.6666666666666665
mlpA_h64f32,vdiag,0.05,Q_coherent,preserving,0.139186295503212,1424,467.0
mlpA_h64f32,vdiag,0.05,Q_coherent,flipped,0.8,5,5.0
mlpA_h64f32,vdiag,0.05,Q_source_greedy,preserving,0.14103923647932132,1424,471.5
mlpA_h64f32,vdiag,0.05,Q_source_greedy,flipped,0.8,5,2.5
mlpA_h64f32,vdiag,0.05,Q_source_dro,preserving,0.1468433569123924,1424,474.72132239847605
mlpA_h64f32,vdiag,0.05,Q_source_dro,flipped,0.8,5,1.6471740093512277
mlpA_h64f32,vdiag,0.05,Q_whitebox,all_valid_arms,0.17913385826771652,1016,508.0
mlpB_h32f16,vdiag,0.05,Q_ref,preserving,0.14396067415730335,1424,474.6666666666667
mlpB_h32f16,vdiag,0.05,Q_ref,flipped,0.8,5,1.6666666666666665
mlpB_h32f16,vdiag,0.05,Q_coherent,preserving,0.14132762312633834,1424,467.0
