contrast,family,quantity,stratum,seed,n_rows,n_parents,value_row,value_parent,ci_lo,ci_hi,boot,terms
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,CCM,all,806,178,85,0.094226,,-0.027722,0.225302,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,CCM,all,cross_seed_mean,178,85,0.159426,,,,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,J,small_edit,803,5,3,0.6,0.5,0.0,1.0,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,J,small_edit,805,5,3,0.6,0.5,0.0,1.0,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,J,small_edit,806,5,3,0.0,-0.166667,-1.0,0.5,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,J,small_edit,cross_seed_mean,5,3,0.4,0.277778,-0.333333,0.833333,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,atomic_joint,small_edit,803,5,3,0.4,0.333333,0.0,1.0,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,atomic_joint,small_edit,805,5,3,0.4,0.333333,0.0,1.0,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,atomic_joint,small_edit,806,5,3,0.4,0.333333,0.0,1.0,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,atomic_joint,small_edit,cross_seed_mean,5,3,0.4,0.333333,0.0,1.0,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,P_state0,small_edit,803,5,3,0.0,0.0,0.0,0.0,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,P_state0,small_edit,805,5,3,0.0,0.0,0.0,0.0,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,P_state0,small_edit,806,5,3,0.0,0.0,0.0,0.0,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,P_state0,small_edit,cross_seed_mean,5,3,0.0,0.0,0.0,0.0,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,A_state1,small_edit,803,5,3,0.2,0.166667,0.0,0.5,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,A_state1,small_edit,805,5,3,0.2,0.166667,0.0,0.5,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,A_state1,small_edit,806,5,3,0.0,0.0,0.0,0.0,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,A_state1,small_edit,cross_seed_mean,5,3,0.133333,0.111111,0.0,0.333333,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,B_state2,small_edit,803,5,3,0.4,0.333333,0.0,1.0,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,B_state2,small_edit,805,5,3,0.4,0.333333,0.0,1.0,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,B_state2,small_edit,806,5,3,0.4,0.333333,0.0,1.0,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,B_state2,small_edit,cross_seed_mean,5,3,0.4,0.333333,0.0,1.0,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,AB_state3,small_edit,803,5,3,0.2,0.166667,0.0,0.5,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,AB_state3,small_edit,805,5,3,0.2,0.166667,0.0,0.5,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,AB_state3,small_edit,806,5,3,-0.4,-0.5,-1.0,0.0,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,AB_state3,small_edit,cross_seed_mean,5,3,0.0,-0.055556,-0.333333,0.333333,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,CCM,small_edit,803,5,3,0.333333,,0.0,0.5,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,CCM,small_edit,805,5,3,0.333333,,0.0,0.5,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,CCM,small_edit,806,5,3,-0.4,,-1.0,0.0,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,CCM,small_edit,cross_seed_mean,5,3,0.088889,,,,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,J,other_edit,803,173,84,0.364162,0.368056,0.269816,0.46627,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,J,other_edit,805,173,84,0.346821,0.330357,0.228175,0.433532,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,J,other_edit,806,173,84,0.289017,0.298611,0.178571,0.420635,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,J,other_edit,cross_seed_mean,173,84,0.333333,0.332341,0.252646,0.416997,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,atomic_joint,other_edit,803,173,84,0.219653,0.210317,0.111111,0.308532,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,atomic_joint,other_edit,805,173,84,0.271676,0.262897,0.162698,0.365079,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,atomic_joint,other_edit,806,173,84,0.260116,0.229167,0.126984,0.33631,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,atomic_joint,other_edit,cross_seed_mean,173,84,0.250482,0.234127,0.146164,0.317799,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,P_state0,other_edit,803,173,84,0.028902,0.02381,0.0,0.059524,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,P_state0,other_edit,805,173,84,0.0,0.0,0.0,0.0,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,P_state0,other_edit,806,173,84,0.023121,0.02381,0.0,0.059524,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
