contrast,seed,stratum,n_rows,baseline110_n,full_repair_n,migration_n,baseline111_n,regression111_n
D_standard_pretrained_flip minus A_standard_pretrained_flip,806,small_edit,5,0,0,0,3,0
D_standard_pretrained_flip minus A_standard_pretrained_flip,803,other_edit,173,35,13,2,123,18
D_standard_pretrained_flip minus A_standard_pretrained_flip,805,other_edit,173,31,6,6,118,21
D_standard_pretrained_flip minus A_standard_pretrained_flip,806,other_edit,173,31,9,0,114,14
D_standard_pretrained_flip minus C_standard_pretrained_flip,803,all,178,10,3,5,168,53
D_standard_pretrained_flip minus C_standard_pretrained_flip,805,all,178,23,10,2,169,50
D_standard_pretrained_flip minus C_standard_pretrained_flip,806,all,178,15,3,5,163,50
D_standard_pretrained_flip minus C_standard_pretrained_flip,803,small_edit,5,0,0,0,5,2
D_standard_pretrained_flip minus C_standard_pretrained_flip,805,small_edit,5,1,0,1,5,2
D_standard_pretrained_flip minus C_standard_pretrained_flip,806,small_edit,5,1,0,1,5,2
D_standard_pretrained_flip minus C_standard_pretrained_flip,803,other_edit,173,10,3,5,163,51
D_standard_pretrained_flip minus C_standard_pretrained_flip,805,other_edit,173,22,10,1,164,48
D_standard_pretrained_flip minus C_standard_pretrained_flip,806,other_edit,173,14,3,4,158,48
A_standard_pretrained_flip minus A_standard_pretrained_static,803,all,178,55,23,15,102,24
A_standard_pretrained_flip minus A_standard_pretrained_static,805,all,178,72,37,21,116,30
A_standard_pretrained_flip minus A_standard_pretrained_static,806,all,178,55,28,10,95,15
A_standard_pretrained_flip minus A_standard_pretrained_static,803,small_edit,5,2,0,2,3,2
A_standard_pretrained_flip minus A_standard_pretrained_static,805,small_edit,5,4,2,1,5,2
A_standard_pretrained_flip minus A_standard_pretrained_static,806,small_edit,5,0,0,0,0,0
A_standard_pretrained_flip minus A_standard_pretrained_static,803,other_edit,173,53,23,13,99,22
A_standard_pretrained_flip minus A_standard_pretrained_static,805,other_edit,173,68,35,20,111,28
A_standard_pretrained_flip minus A_standard_pretrained_static,806,other_edit,173,55,28,10,95,15
B_standard_pretrained_flip minus B_standard_pretrained_static,803,all,178,30,23,1,152,1
B_standard_pretrained_flip minus B_standard_pretrained_static,805,all,178,23,11,0,159,0
B_standard_pretrained_flip minus B_standard_pretrained_static,806,all,178,41,19,0,149,3
B_standard_pretrained_flip minus B_standard_pretrained_static,803,small_edit,5,1,1,0,4,0
B_standard_pretrained_flip minus B_standard_pretrained_static,805,small_edit,5,1,1,0,5,0
B_standard_pretrained_flip minus B_standard_pretrained_static,806,small_edit,5,2,0,0,5,0
B_standard_pretrained_flip minus B_standard_pretrained_static,803,other_edit,173,29,22,1,148,1
B_standard_pretrained_flip minus B_standard_pretrained_static,805,other_edit,173,22,10,0,154,0
B_standard_pretrained_flip minus B_standard_pretrained_static,806,other_edit,173,39,19,0,144,3
B_standard_pretrained_static minus A_standard_pretrained_static,803,all,178,55,34,6,102,7
B_standard_pretrained_static minus A_standard_pretrained_static,805,all,178,72,56,3,116,4
B_standard_pretrained_static minus A_standard_pretrained_static,806,all,178,55,36,3,95,5
B_standard_pretrained_static minus A_standard_pretrained_static,803,small_edit,5,2,1,0,3,0
B_standard_pretrained_static minus A_standard_pretrained_static,805,small_edit,5,4,3,0,5,0
B_standard_pretrained_static minus A_standard_pretrained_static,806,small_edit,5,0,0,0,0,0
B_standard_pretrained_static minus A_standard_pretrained_static,803,other_edit,173,53,33,6,99,7
B_standard_pretrained_static minus A_standard_pretrained_static,805,other_edit,173,68,53,3,111,4
B_standard_pretrained_static minus A_standard_pretrained_static,806,other_edit,173,55,36,3,95,5
C_standard_pretrained_flip minus D_standard_pretrained_flip,803,all,178,24,22,0,117,2
C_standard_pretrained_flip minus D_standard_pretrained_flip,805,all,178,38,30,0,120,1
C_standard_pretrained_flip minus D_standard_pretrained_flip,806,all,178,36,28,0,118,5
C_standard_pretrained_flip minus D_standard_pretrained_flip,803,small_edit,5,0,0,0,3,0
C_standard_pretrained_flip minus D_standard_pretrained_flip,805,small_edit,5,1,1,0,3,0
C_standard_pretrained_flip minus D_standard_pretrained_flip,806,small_edit,5,0,0,0,3,0
C_standard_pretrained_flip minus D_standard_pretrained_flip,803,other_edit,173,24,22,0,114,2
C_standard_pretrained_flip minus D_standard_pretrained_flip,805,other_edit,173,37,29,0,117,1
C_standard_pretrained_flip minus D_standard_pretrained_flip,806,other_edit,173,36,28,0,115,5
B_standard_random_flip minus A_standard_random_flip,803,all,178,30,18,0,140,4
B_standard_random_flip minus A_standard_random_flip,805,all,178,30,27,0,132,1
B_standard_random_flip minus A_standard_random_flip,806,all,178,31,23,0,129,1
B_standard_random_flip minus A_standard_random_flip,803,small_edit,5,0,0,0,5,0
B_standard_random_flip minus A_standard_random_flip,805,small_edit,5,1,1,0,5,0
B_standard_random_flip minus A_standard_random_flip,806,small_edit,5,2,2,0,5,0
B_standard_random_flip minus A_standard_random_flip,803,other_edit,173,30,18,0,135,4
B_standard_random_flip minus A_standard_random_flip,805,other_edit,173,29,26,0,127,1
B_standard_random_flip minus A_standard_random_flip,806,other_edit,173,29,21,0,124,1
B_lowstride_random_flip minus A_lowstride_random_flip,803,all,178,35,29,0,139,0
B_lowstride_random_flip minus A_lowstride_random_flip,805,all,178,28,21,0,139,0
B_lowstride_random_flip minus A_lowstride_random_flip,806,all,178,34,29,0,138,2
B_lowstride_random_flip minus A_lowstride_random_flip,803,small_edit,5,1,1,0,5,0
B_lowstride_random_flip minus A_lowstride_random_flip,805,small_edit,5,0,0,0,5,0
B_lowstride_random_flip minus A_lowstride_random_flip,806,small_edit,5,1,1,0,4,0
B_lowstride_random_flip minus A_lowstride_random_flip,803,other_edit,173,34,28,0,134,0
B_lowstride_random_flip minus A_lowstride_random_flip,805,other_edit,173,28,21,0,134,0
B_lowstride_random_flip minus A_lowstride_random_flip,806,other_edit,173,33,28,0,134,2
A_lowstride_random_flip minus A_standard_random_flip,803,all,178,30,5,0,140,5
A_lowstride_random_flip minus A_standard_random_flip,805,all,178,30,9,2,132,6
A_lowstride_random_flip minus A_standard_random_flip,806,all,178,31,7,1,129,10
A_lowstride_random_flip minus A_standard_random_flip,803,small_edit,5,0,0,0,5,0
A_lowstride_random_flip minus A_standard_random_flip,805,small_edit,5,1,1,0,5,0
A_lowstride_random_flip minus A_standard_random_flip,806,small_edit,5,2,1,0,5,1
A_lowstride_random_flip minus A_standard_random_flip,803,other_edit,173,30,5,0,135,5
A_lowstride_random_flip minus A_standard_random_flip,805,other_edit,173,29,8,2,127,6
A_lowstride_random_flip minus A_standard_random_flip,806,other_edit,173,29,6,1,124,9
B_lowstride_random_flip minus B_standard_random_flip,803,all,178,14,9,0,163,0
B_lowstride_random_flip minus B_standard_random_flip,805,all,178,8,4,0,166,1
B_lowstride_random_flip minus B_standard_random_flip,806,all,178,11,5,0,166,0
B_lowstride_random_flip minus B_standard_random_flip,803,small_edit,5,0,0,0,5,0
B_lowstride_random_flip minus B_standard_random_flip,805,small_edit,5,0,0,0,5,0
B_lowstride_random_flip minus B_standard_random_flip,806,small_edit,5,0,0,0,5,0
B_lowstride_random_flip minus B_standard_random_flip,803,other_edit,173,14,9,0,158,0
B_lowstride_random_flip minus B_standard_random_flip,805,other_edit,173,8,4,0,161,1
B_lowstride_random_flip minus B_standard_random_flip,806,other_edit,173,11,5,0,161,0
C_standard_random_flip minus B_standard_random_flip,803,all,178,14,8,0,163,1
C_standard_random_flip minus B_standard_random_flip,805,all,178,8,5,0,166,2
C_standard_random_flip minus B_standard_random_flip,806,all,178,11,3,0,166,1
C_standard_random_flip minus B_standard_random_flip,803,small_edit,5,0,0,0,5,0
C_standard_random_flip minus B_standard_random_flip,805,small_edit,5,0,0,0,5,0
C_standard_random_flip minus B_standard_random_flip,806,small_edit,5,0,0,0,5,0
C_standard_random_flip minus B_standard_random_flip,803,other_edit,173,14,8,0,158,1
C_standard_random_flip minus B_standard_random_flip,805,other_edit,173,8,5,0,161,2
C_standard_random_flip minus B_standard_random_flip,806,other_edit,173,11,3,0,161,1
C_standard_random_flip minus A_standard_random_flip,803,all,178,30,22,0,140,4
C_standard_random_flip minus A_standard_random_flip,805,all,178,30,27,0,132,1
C_standard_random_flip minus A_standard_random_flip,806,all,178,31,26,0,129,0
C_standard_random_flip minus A_standard_random_flip,803,small_edit,5,0,0,0,5,0
C_standard_random_flip minus A_standard_random_flip,805,small_edit,5,1,1,0,5,0
C_standard_random_flip minus A_standard_random_flip,806,small_edit,5,2,2,0,5,0
C_standard_random_flip minus A_standard_random_flip,803,other_edit,173,30,22,0,135,4
C_standard_random_flip minus A_standard_random_flip,805,other_edit,173,29,26,0,127,1
C_standard_random_flip minus A_standard_random_flip,806,other_edit,173,29,24,0,124,0
D_standard_random_flip minus A_standard_random_flip,803,all,178,30,5,1,140,37
D_standard_random_flip minus A_standard_random_flip,805,all,178,30,2,0,132,3
D_standard_random_flip minus A_standard_random_flip,806,all,178,31,9,4,129,30
D_standard_random_flip minus A_standard_random_flip,803,small_edit,5,0,0,0,5,1
D_standard_random_flip minus A_standard_random_flip,805,small_edit,5,1,0,0,5,0
D_standard_random_flip minus A_standard_random_flip,806,small_edit,5,2,2,0,5,1
D_standard_random_flip minus A_standard_random_flip,803,other_edit,173,30,5,1,135,36
D_standard_random_flip minus A_standard_random_flip,805,other_edit,173,29,2,0,127,3
D_standard_random_flip minus A_standard_random_flip,806,other_edit,173,29,7,4,124,29
D_standard_random_flip minus C_standard_random_flip,803,all,178,7,1,0,165,60
D_standard_random_flip minus C_standard_random_flip,805,all,178,7,0,0,167,18
D_standard_random_flip minus C_standard_random_flip,806,all,178,9,1,5,168,65
D_standard_random_flip minus C_standard_random_flip,803,small_edit,5,0,0,0,5,1
